['p5', '00:01:02', 'pan', 'geo-0-1', '2', '1', 'Question']
['p5', '00:01:02', 'pan', 'geo-0-1', '6', '0', 'Question']
['p5', '00:01:02', 'pan', 'geo-0-1', '2', '1', 'Question']
['p5', '00:01:02', 'pan', 'geo-0-1', '3', '1', 'Question']
['p5', '00:01:02', 'pan', 'geo-0-1', '2', '0', 'Question']
['p5', '00:01:02', 'pan', 'geo-0-1', '2', '1', 'Question']
['p5', '00:01:02', 'pan', 'geo-0-1', '4', '0', 'Question']
['p5', '00:01:02', 'pan', 'geo-0-1', '3', '1', 'Question']
['p5', '00:01:02', 'pan', 'geo-0-1', '4', '1', 'Question']
['p5', '00:01:02', 'pan', 'geo-0-1', '2', '0', 'Question']
['p5', '00:01:02', 'pan', 'geo-0-1', '2', '1', 'Question']
['p5', '00:01:02', 'pan', 'geo-0-1', '1', '0', 'Question']
['p5', '00:01:02', 'pan', 'geo-0-1', '0', '1', 'Question']
['p5', '00:01:02', 'pan', 'geo-0-1', '0', '0', 'Question']
['p5', '00:01:04', 'pan', 'geo-0-1', '2', '0', 'Sensemaking']
['p5', '00:01:04', 'pan', 'geo-0-1', '3', '0', 'Sensemaking']
['p5', '00:01:04', 'pan', 'geo-0-1', '4', '0', 'Sensemaking']
['p5', '00:01:04', 'pan', 'geo-0-1', '5', '1', 'Sensemaking']
['p5', '00:01:04', 'pan', 'geo-0-1', '5', '0', 'Sensemaking']
['p5', '00:01:04', 'pan', 'geo-0-1', '4', '1', 'Sensemaking']
['p5', '00:01:04', 'pan', 'geo-0-1', '5', '2', 'Sensemaking']
['p5', '00:01:04', 'pan', 'geo-0-1', '2', '1', 'Sensemaking']
['p5', '00:01:04', 'pan', 'geo-0-1', '0', '2', 'Sensemaking']
['p5', '00:01:05', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p5', '00:01:06', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p5', '00:01:06', 'pan', 'geo-0-1', '3', '0', 'Sensemaking']
['p5', '00:01:06', 'pan', 'geo-0-1', '6', '0', 'Sensemaking']
['p5', '00:01:06', 'pan', 'geo-0-1', '4', '0', 'Sensemaking']
['p5', '00:01:06', 'pan', 'geo-0-1', '5', '1', 'Sensemaking']
['p5', '00:01:06', 'pan', 'geo-0-1', '10', '4', 'Sensemaking']
['p5', '00:01:06', 'pan', 'geo-0-1', '5', '2', 'Sensemaking']
['p5', '00:01:06', 'pan', 'geo-0-1', '6', '3', 'Sensemaking']
['p5', '00:01:06', 'pan', 'geo-0-1', '1', '3', 'Sensemaking']
['p5', '00:01:06', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p5', '00:01:06', 'pan', 'geo-0-1', '4', '2', 'Sensemaking']
['p5', '00:01:06', 'pan', 'geo-0-1', '19', '10', 'Sensemaking']
['p5', '00:01:06', 'pan', 'geo-0-1', '5', '3', 'Sensemaking']
['p5', '00:01:06', 'pan', 'geo-0-1', '12', '6', 'Sensemaking']
['p5', '00:01:06', 'pan', 'geo-0-1', '4', '3', 'Sensemaking']
['p5', '00:01:06', 'pan', 'geo-0-1', '1', '2', 'Sensemaking']
['p5', '00:01:07', 'pan', 'geo-0-1', '1', '-1', 'Sensemaking']
['p5', '00:01:07', 'pan', 'geo-0-1', '2', '-1', 'Sensemaking']
