['p4', '00:38:53', 'zoom', 'geo-0-1', '2', 'Question']
['p4', '00:38:53', 'pan', 'geo-0-1', '0', '0', 'Question']
['p4', '00:38:54', 'clear', 'undefined', 'undefined', 'Question']
['p4', '00:38:54', 'brush', 'hist-3', '3-6-6-0_', 'Question']
['p4', '00:38:54', 'brush', 'hist-3', '3-5-5-0_', 'Question']
['p4', '00:38:54', 'brush', 'hist-3', '3-4-4-0_', 'Question']
['p4', '00:38:54', 'brush', 'hist-3', '3-3-3-0_', 'Question']
['p4', '00:38:54', 'brush', 'hist-3', '3-2-2-0_', 'Question']
['p4', '00:38:54', 'brush', 'hist-3', '3-1-1-0_', 'Question']
['p4', '00:38:54', 'brush', 'hist-3', '3-0-0-0_', 'Question']
['p4', '00:38:54', 'clear', 'undefined', 'undefined', 'Question']
['p4', '00:38:55', 'brush', 'hist-3', '3-0-0-0_', 'Question']
['p4', '00:38:55', 'brush', 'hist-3', '3-1-1-0_', 'Question']
['p4', '00:38:55', 'brush', 'hist-3', '3-2-2-0_', 'Question']
['p4', '00:38:55', 'brush', 'hist-3', '3-3-3-0_', 'Question']
['p4', '00:38:55', 'brush', 'hist-3', '3-4-4-0_', 'Question']
['p4', '00:38:55', 'brush', 'hist-3', '3-5-5-0_', 'Question']
['p4', '00:38:55', 'brush', 'hist-3', '3-6-6-0_', 'Question']
['p4', '00:38:55', 'brush', 'hist-3', '3-7-7-0_', 'Question']
['p4', '00:38:55', 'brush', 'hist-3', '3-8-8-0_', 'Question']
['p4', '00:38:55', 'brush', 'hist-3', '3-9-9-0_', 'Question']
['p4', '00:38:56', 'brush', 'hist-3', '3-10-10-0_', 'Question']
['p4', '00:38:56', 'brush', 'hist-3', '3-11-11-0_', 'Question']
['p4', '00:38:56', 'brush', 'hist-3', '3-12-12-0_', 'Question']
['p4', '00:38:56', 'brush', 'hist-3', '3-13-13-0_', 'Question']
['p4', '00:38:56', 'brush', 'hist-3', '3-14-14-0_', 'Question']
['p4', '00:38:56', 'brush', 'hist-3', '3-15-15-0_', 'Question']
['p4', '00:38:56', 'brush', 'hist-3', '3-16-16-0_', 'Question']
['p4', '00:38:56', 'brush', 'hist-3', '3-17-17-0_', 'Question']
['p4', '00:38:56', 'brush', 'hist-3', '3-18-18-0_', 'Question']
['p4', '00:38:56', 'brush', 'hist-3', '3-19-19-0_', 'Question']
['p4', '00:38:56', 'brush', 'hist-3', '3-20-20-0_', 'Question']
['p4', '00:38:56', 'brush', 'hist-3', '3-21-21-0_', 'Question']
['p4', '00:38:56', 'brush', 'hist-3', '3-22-22-0_', 'Question']
['p4', '00:38:56', 'brush', 'hist-3', '3-21-21-0_', 'Question']
['p4', '00:38:56', 'brush', 'hist-3', '3-20-20-0_', 'Question']
['p4', '00:38:56', 'brush', 'hist-3', '3-19-19-0_', 'Question']
['p4', '00:38:56', 'brush', 'hist-3', '3-18-18-0_', 'Question']
['p4', '00:38:56', 'brush', 'hist-3', '3-17-17-0_', 'Question']
['p4', '00:38:57', 'brush', 'hist-3', '3-16-16-0_', 'Question']
['p4', '00:38:57', 'brush', 'hist-3', '3-15-15-0_', 'Question']
['p4', '00:38:57', 'brush', 'hist-3', '3-14-14-0_', 'Question']
['p4', '00:38:57', 'brush', 'hist-3', '3-13-13-0_', 'Question']
['p4', '00:38:57', 'brush', 'hist-3', '3-12-12-0_', 'Question']
['p4', '00:38:57', 'brush', 'hist-3', '3-11-11-0_', 'Question']
['p4', '00:38:57', 'brush', 'hist-3', '3-10-10-0_', 'Question']
['p4', '00:38:57', 'brush', 'hist-3', '3-9-9-0_', 'Question']
['p4', '00:38:57', 'brush', 'hist-3', '3-8-8-0_', 'Question']
['p4', '00:38:57', 'brush', 'hist-3', '3-7-7-0_', 'Question']
['p4', '00:38:57', 'brush', 'hist-3', '3-6-6-0_', 'Question']
['p4', '00:38:57', 'brush', 'hist-3', '3-5-5-0_', 'Question']
['p4', '00:38:57', 'brush', 'hist-3', '3-4-4-0_', 'Question']
['p4', '00:38:57', 'brush', 'hist-3', '3-3-3-0_', 'Question']
['p4', '00:38:57', 'brush', 'hist-3', '3-2-2-0_', 'Question']
['p4', '00:38:57', 'brush', 'hist-3', '3-1-1-0_', 'Question']
['p4', '00:38:57', 'brush', 'hist-3', '3-0-0-0_', 'Question']
['p4', '00:38:57', 'brush', 'hist-3', '3-1-1-0_', 'Question']
['p4', '00:38:57', 'brush', 'hist-3', '3-2-2-0_', 'Question']
['p4', '00:38:57', 'brush', 'hist-3', '3-3-3-0_', 'Question']
['p4', '00:38:58', 'brush', 'hist-3', '3-4-4-0_', 'Question']
['p4', '00:38:58', 'brush', 'hist-3', '3-5-5-0_', 'Question']
['p4', '00:38:58', 'brush', 'hist-3', '3-6-6-0_', 'Question']
['p4', '00:38:59', 'brush', 'hist-3', '3-7-7-0_', 'Question']
['p4', '00:38:59', 'brush', 'hist-3', '3-8-8-0_', 'Question']
['p4', '00:38:59', 'brush', 'hist-3', '3-9-9-0_', 'Question']
['p4', '00:38:59', 'brush', 'hist-3', '3-10-10-0_', 'Question']
