['p4', '00:22:47', 'pan', 'geo-0-1', '-1', '0', 'Exploration']
['p4', '00:22:47', 'pan', 'geo-0-1', '-2', '0', 'Exploration']
['p4', '00:22:47', 'pan', 'geo-0-1', '-2', '-2', 'Exploration']
['p4', '00:22:47', 'pan', 'geo-0-1', '-1', '-3', 'Exploration']
['p4', '00:22:47', 'pan', 'geo-0-1', '-1', '-2', 'Exploration']
['p4', '00:22:47', 'pan', 'geo-0-1', '1', '-2', 'Exploration']
['p4', '00:22:47', 'pan', 'geo-0-1', '1', '-1', 'Exploration']
['p4', '00:22:47', 'pan', 'geo-0-1', '1', '0', 'Exploration']
['p4', '00:22:47', 'pan', 'geo-0-1', '0', '0', 'Exploration']
['p4', '00:22:47', 'pan', 'geo-0-1', '1', '1', 'Exploration']
['p4', '00:22:47', 'pan', 'geo-0-1', '2', '3', 'Exploration']
['p4', '00:22:47', 'pan', 'geo-0-1', '1', '3', 'Exploration']
['p4', '00:22:47', 'pan', 'geo-0-1', '-1', '4', 'Exploration']
['p4', '00:22:47', 'pan', 'geo-0-1', '-4', '1', 'Exploration']
['p4', '00:22:47', 'pan', 'geo-0-1', '-5', '0', 'Exploration']
['p4', '00:22:47', 'pan', 'geo-0-1', '503', '0', 'Exploration']
['p4', '00:22:47', 'pan', 'geo-0-1', '-7', '-3', 'Exploration']
['p4', '00:22:47', 'pan', 'geo-0-1', '-8', '-4', 'Exploration']
['p4', '00:22:47', 'pan', 'geo-0-1', '-3', '-4', 'Exploration']
['p4', '00:22:47', 'pan', 'geo-0-1', '-3', '-2', 'Exploration']
['p4', '00:22:47', 'pan', 'geo-0-1', '0', '-4', 'Exploration']
['p4', '00:22:47', 'pan', 'geo-0-1', '0', '-2', 'Exploration']
['p4', '00:22:47', 'pan', 'geo-0-1', '3', '-1', 'Exploration']
['p4', '00:22:47', 'pan', 'geo-0-1', '2', '-1', 'Exploration']
['p4', '00:22:47', 'pan', 'geo-0-1', '1', '0', 'Exploration']
['p4', '00:22:47', 'pan', 'geo-0-1', '3', '0', 'Exploration']
['p4', '00:22:47', 'pan', 'geo-0-1', '2', '2', 'Exploration']
['p4', '00:22:47', 'pan', 'geo-0-1', '2', '1', 'Exploration']
['p4', '00:22:47', 'pan', 'geo-0-1', '1', '2', 'Exploration']
['p4', '00:22:47', 'pan', 'geo-0-1', '0', '2', 'Exploration']
['p4', '00:22:47', 'pan', 'geo-0-1', '0', '1', 'Exploration']
['p4', '00:22:47', 'pan', 'geo-0-1', '-3', '1', 'Exploration']
['p4', '00:22:47', 'pan', 'geo-0-1', '-4', '0', 'Exploration']
['p4', '00:22:47', 'pan', 'geo-0-1', '-18', '-8', 'Exploration']
['p4', '00:22:47', 'pan', 'geo-0-1', '-2', '-3', 'Exploration']
['p4', '00:22:47', 'pan', 'geo-0-1', '0', '-4', 'Exploration']
['p4', '00:22:47', 'pan', 'geo-0-1', '3', '-3', 'Exploration']
['p4', '00:22:47', 'pan', 'geo-0-1', '6', '-3', 'Exploration']
['p4', '00:22:47', 'pan', 'geo-0-1', '25', '0', 'Exploration']
['p4', '00:22:47', 'pan', 'geo-0-1', '5', '3', 'Exploration']
['p4', '00:22:48', 'pan', 'geo-0-1', '2', '1', 'Exploration']
['p4', '00:22:48', 'pan', 'geo-0-1', '-511', '2', 'Exploration']
['p4', '00:22:48', 'pan', 'geo-0-1', '0', '2', 'Exploration']
['p4', '00:22:48', 'pan', 'geo-0-1', '511', '2', 'Exploration']
['p4', '00:22:48', 'pan', 'geo-0-1', '-17', '0', 'Exploration']
['p4', '00:22:48', 'pan', 'geo-0-1', '-9', '-3', 'Exploration']
['p4', '00:22:48', 'pan', 'geo-0-1', '-6', '-3', 'Exploration']
['p4', '00:22:48', 'pan', 'geo-0-1', '-4', '-4', 'Exploration']
['p4', '00:22:48', 'pan', 'geo-0-1', '-2', '-3', 'Exploration']
['p4', '00:22:48', 'pan', 'geo-0-1', '0', '-3', 'Exploration']
['p4', '00:22:48', 'pan', 'geo-0-1', '6', '-3', 'Exploration']
['p4', '00:22:48', 'pan', 'geo-0-1', '8', '0', 'Exploration']
['p4', '00:22:48', 'pan', 'geo-0-1', '12', '2', 'Exploration']
['p4', '00:22:48', 'pan', 'geo-0-1', '12', '6', 'Exploration']
['p4', '00:22:48', 'pan', 'geo-0-1', '-501', '9', 'Exploration']
['p4', '00:22:48', 'pan', 'geo-0-1', '2', '4', 'Exploration']
['p4', '00:22:48', 'pan', 'geo-0-1', '0', '4', 'Exploration']
['p4', '00:22:48', 'pan', 'geo-0-1', '-1', '3', 'Exploration']
['p4', '00:22:48', 'pan', 'geo-0-1', '-3', '3', 'Exploration']
['p4', '00:22:48', 'pan', 'geo-0-1', '-4', '1', 'Exploration']
['p4', '00:22:48', 'pan', 'geo-0-1', '504', '0', 'Exploration']
['p4', '00:22:48', 'pan', 'geo-0-1', '-6', '0', 'Exploration']
['p4', '00:22:48', 'pan', 'geo-0-1', '-7', '-4', 'Exploration']
['p4', '00:22:48', 'pan', 'geo-0-1', '-1', '-2', 'Exploration']
['p4', '00:22:48', 'pan', 'geo-0-1', '0', '-1', 'Exploration']
['p4', '00:22:48', 'pan', 'geo-0-1', '1', '0', 'Exploration']
['p4', '00:22:48', 'pan', 'geo-0-1', '0', '0', 'Exploration']
['p4', '00:22:48', 'pan', 'geo-0-1', '1', '0', 'Exploration']
['p4', '00:22:48', 'pan', 'geo-0-1', '2', '0', 'Exploration']
['p4', '00:22:48', 'pan', 'geo-0-1', '1', '0', 'Exploration']
['p4', '00:22:48', 'pan', 'geo-0-1', '0', '0', 'Exploration']
['p4', '00:22:48', 'pan', 'geo-0-1', '0', '1', 'Exploration']
['p4', '00:22:48', 'pan', 'geo-0-1', '0', '0', 'Exploration']
['p4', '00:22:48', 'pan', 'geo-0-1', '0', '-1', 'Exploration']
['p4', '00:22:48', 'pan', 'geo-0-1', '2', '-2', 'Exploration']
['p4', '00:22:48', 'pan', 'geo-0-1', '5', '-1', 'Exploration']
['p4', '00:22:48', 'pan', 'geo-0-1', '2', '-1', 'Exploration']
['p4', '00:22:48', 'pan', 'geo-0-1', '-510', '0', 'Exploration']
['p4', '00:22:48', 'pan', 'geo-0-1', '1', '0', 'Exploration']
['p4', '00:22:49', 'pan', 'geo-0-1', '0', '0', 'Exploration']
['p4', '00:22:57', 'repaintBg', 'color slider', '910-227312', 'Exploration']
['p4', '00:22:57', 'repaintFg', 'color slider', '910-227312', 'Exploration']
['p4', '00:22:57', 'repaintBg', 'color slider', '1665-227312', 'Exploration']
['p4', '00:22:57', 'repaintFg', 'color slider', '1665-227312', 'Exploration']
['p4', '00:22:57', 'repaintBg', 'color slider', '6573-227312', 'Exploration']
['p4', '00:22:57', 'repaintFg', 'color slider', '6573-227312', 'Exploration']
['p4', '00:22:57', 'repaintBg', 'color slider', '8084-227312', 'Exploration']
['p4', '00:22:57', 'repaintFg', 'color slider', '8084-227312', 'Exploration']
['p4', '00:22:57', 'repaintBg', 'color slider', '11482-227312', 'Exploration']
['p4', '00:22:57', 'repaintFg', 'color slider', '11482-227312', 'Exploration']
['p4', '00:22:57', 'repaintBg', 'color slider', '12615-227312', 'Exploration']
['p4', '00:22:57', 'repaintFg', 'color slider', '12615-227312', 'Exploration']
['p4', '00:22:57', 'repaintBg', 'color slider', '13370-227312', 'Exploration']
['p4', '00:22:57', 'repaintFg', 'color slider', '13370-227312', 'Exploration']
['p4', '00:22:57', 'repaintBg', 'color slider', '13748-227312', 'Exploration']
['p4', '00:22:57', 'repaintFg', 'color slider', '13748-227312', 'Exploration']
['p4', '00:22:57', 'repaintBg', 'color slider', '14881-227312', 'Exploration']
['p4', '00:22:57', 'repaintFg', 'color slider', '14881-227312', 'Exploration']
['p4', '00:22:57', 'repaintBg', 'color slider', '16013-227312', 'Exploration']
['p4', '00:22:57', 'repaintFg', 'color slider', '16013-227312', 'Exploration']
['p4', '00:22:57', 'repaintBg', 'color slider', '18279-227312', 'Exploration']
['p4', '00:22:57', 'repaintFg', 'color slider', '18279-227312', 'Exploration']
['p4', '00:22:57', 'repaintBg', 'color slider', '22432-227312', 'Exploration']
['p4', '00:22:57', 'repaintFg', 'color slider', '22432-227312', 'Exploration']
['p4', '00:22:57', 'repaintBg', 'color slider', '26586-227312', 'Exploration']
['p4', '00:22:57', 'repaintFg', 'color slider', '26586-227312', 'Exploration']
['p4', '00:22:57', 'repaintBg', 'color slider', '27719-227312', 'Exploration']
['p4', '00:22:57', 'repaintFg', 'color slider', '27719-227312', 'Exploration']
['p4', '00:22:57', 'repaintBg', 'color slider', '28474-227312', 'Exploration']
['p4', '00:22:57', 'repaintFg', 'color slider', '28474-227312', 'Exploration']
['p4', '00:22:57', 'repaintBg', 'color slider', '28851-227312', 'Exploration']
['p4', '00:22:57', 'repaintFg', 'color slider', '28851-227312', 'Exploration']
['p4', '00:22:58', 'repaintBg', 'color slider', '29229-227312', 'Exploration']
['p4', '00:22:58', 'repaintFg', 'color slider', '29229-227312', 'Exploration']
['p4', '00:22:58', 'repaintBg', 'color slider', '29607-227312', 'Exploration']
['p4', '00:22:58', 'repaintFg', 'color slider', '29607-227312', 'Exploration']
['p4', '00:22:58', 'repaintBg', 'color slider', '29984-227312', 'Exploration']
['p4', '00:22:58', 'repaintFg', 'color slider', '29984-227312', 'Exploration']
['p4', '00:22:58', 'repaintBg', 'color slider', '30362-227312', 'Exploration']
['p4', '00:22:58', 'repaintFg', 'color slider', '30362-227312', 'Exploration']
['p4', '00:22:58', 'repaintBg', 'color slider', '32250-227312', 'Exploration']
['p4', '00:22:58', 'repaintFg', 'color slider', '32250-227312', 'Exploration']
['p4', '00:22:58', 'repaintBg', 'color slider', '36403-227312', 'Exploration']
['p4', '00:22:58', 'repaintFg', 'color slider', '36403-227312', 'Exploration']
['p4', '00:22:58', 'repaintBg', 'color slider', '40557-227312', 'Exploration']
['p4', '00:22:58', 'repaintFg', 'color slider', '40557-227312', 'Exploration']
['p4', '00:22:58', 'repaintBg', 'color slider', '45088-227312', 'Exploration']
['p4', '00:22:58', 'repaintFg', 'color slider', '45088-227312', 'Exploration']
['p4', '00:22:58', 'repaintBg', 'color slider', '49241-227312', 'Exploration']
['p4', '00:22:58', 'repaintFg', 'color slider', '49241-227312', 'Exploration']
['p4', '00:22:58', 'repaintBg', 'color slider', '54528-227312', 'Exploration']
['p4', '00:22:58', 'repaintFg', 'color slider', '54528-227312', 'Exploration']
['p4', '00:22:58', 'repaintBg', 'color slider', '61324-227312', 'Exploration']
['p4', '00:22:58', 'repaintFg', 'color slider', '61324-227312', 'Exploration']
['p4', '00:22:58', 'repaintBg', 'color slider', '67744-227312', 'Exploration']
['p4', '00:22:58', 'repaintFg', 'color slider', '67744-227312', 'Exploration']
['p4', '00:22:58', 'repaintBg', 'color slider', '73785-227312', 'Exploration']
['p4', '00:22:58', 'repaintFg', 'color slider', '73785-227312', 'Exploration']
['p4', '00:22:58', 'repaintBg', 'color slider', '81714-227312', 'Exploration']
['p4', '00:22:58', 'repaintFg', 'color slider', '81714-227312', 'Exploration']
['p4', '00:22:58', 'repaintBg', 'color slider', '89644-227312', 'Exploration']
['p4', '00:22:58', 'repaintFg', 'color slider', '89644-227312', 'Exploration']
['p4', '00:22:58', 'repaintBg', 'color slider', '97573-227312', 'Exploration']
['p4', '00:22:58', 'repaintFg', 'color slider', '97573-227312', 'Exploration']
['p4', '00:22:58', 'repaintBg', 'color slider', '108524-227312', 'Exploration']
['p4', '00:22:58', 'repaintFg', 'color slider', '108524-227312', 'Exploration']
['p4', '00:22:58', 'repaintBg', 'color slider', '116831-227312', 'Exploration']
['p4', '00:22:58', 'repaintFg', 'color slider', '116831-227312', 'Exploration']
['p4', '00:22:58', 'repaintBg', 'color slider', '124760-227312', 'Exploration']
['p4', '00:22:58', 'repaintFg', 'color slider', '124760-227312', 'Exploration']
['p4', '00:22:58', 'repaintBg', 'color slider', '133822-227312', 'Exploration']
['p4', '00:22:58', 'repaintFg', 'color slider', '133822-227312', 'Exploration']
['p4', '00:22:58', 'repaintFg', 'color slider', '142885-227312', 'Exploration']
['p4', '00:22:58', 'repaintBg', 'color slider', '142885-227312', 'Exploration']
['p4', '00:22:58', 'repaintBg', 'color slider', '150059-227312', 'Exploration']
['p4', '00:22:58', 'repaintFg', 'color slider', '150059-227312', 'Exploration']
['p4', '00:22:58', 'repaintBg', 'color slider', '156100-227312', 'Exploration']
['p4', '00:22:58', 'repaintFg', 'color slider', '156100-227312', 'Exploration']
['p4', '00:22:58', 'repaintBg', 'color slider', '160631-227312', 'Exploration']
['p4', '00:22:58', 'repaintFg', 'color slider', '160631-227312', 'Exploration']
['p4', '00:22:58', 'repaintBg', 'color slider', '163652-227312', 'Exploration']
['p4', '00:22:58', 'repaintFg', 'color slider', '163652-227312', 'Exploration']
['p4', '00:22:58', 'repaintBg', 'color slider', '165918-227312', 'Exploration']
['p4', '00:22:58', 'repaintFg', 'color slider', '165918-227312', 'Exploration']
['p4', '00:22:58', 'repaintFg', 'color slider', '170449-227312', 'Exploration']
['p4', '00:22:58', 'repaintBg', 'color slider', '170449-227312', 'Exploration']
['p4', '00:22:58', 'repaintBg', 'color slider', '175735-227312', 'Exploration']
['p4', '00:22:58', 'repaintFg', 'color slider', '175735-227312', 'Exploration']
['p4', '00:22:58', 'repaintBg', 'color slider', '181021-227312', 'Exploration']
['p4', '00:22:58', 'repaintFg', 'color slider', '181021-227312', 'Exploration']
['p4', '00:22:59', 'repaintBg', 'color slider', '185175-227312', 'Exploration']
['p4', '00:22:59', 'repaintFg', 'color slider', '185175-227312', 'Exploration']
['p4', '00:22:59', 'repaintBg', 'color slider', '189706-227312', 'Exploration']
['p4', '00:22:59', 'repaintFg', 'color slider', '189706-227312', 'Exploration']
['p4', '00:22:59', 'repaintBg', 'color slider', '192727-227312', 'Exploration']
['p4', '00:22:59', 'repaintFg', 'color slider', '192727-227312', 'Exploration']
['p4', '00:22:59', 'repaintBg', 'color slider', '193860-227312', 'Exploration']
['p4', '00:22:59', 'repaintFg', 'color slider', '193860-227312', 'Exploration']
['p4', '00:22:59', 'repaintBg', 'color slider', '196880-227312', 'Exploration']
['p4', '00:22:59', 'repaintFg', 'color slider', '196880-227312', 'Exploration']
['p4', '00:22:59', 'repaintBg', 'color slider', '201034-227312', 'Exploration']
['p4', '00:22:59', 'repaintFg', 'color slider', '201034-227312', 'Exploration']
['p4', '00:22:59', 'repaintBg', 'color slider', '202922-227312', 'Exploration']
['p4', '00:22:59', 'repaintFg', 'color slider', '202922-227312', 'Exploration']
['p4', '00:22:59', 'repaintBg', 'color slider', '206320-227312', 'Exploration']
['p4', '00:22:59', 'repaintFg', 'color slider', '206320-227312', 'Exploration']
['p4', '00:22:59', 'repaintBg', 'color slider', '206698-227312', 'Exploration']
['p4', '00:22:59', 'repaintFg', 'color slider', '206698-227312', 'Exploration']
['p4', '00:22:59', 'repaintBg', 'color slider', '210851-227312', 'Exploration']
['p4', '00:22:59', 'repaintFg', 'color slider', '210851-227312', 'Exploration']
['p4', '00:22:59', 'repaintBg', 'color slider', '216138-227312', 'Exploration']
['p4', '00:22:59', 'repaintFg', 'color slider', '216138-227312', 'Exploration']
['p4', '00:22:59', 'repaintBg', 'color slider', '219158-227312', 'Exploration']
['p4', '00:22:59', 'repaintFg', 'color slider', '219158-227312', 'Exploration']
['p4', '00:22:59', 'repaintBg', 'color slider', '225955-227312', 'Exploration']
['p4', '00:22:59', 'repaintFg', 'color slider', '225955-227312', 'Exploration']
['p4', '00:22:59', 'repaintBg', 'color slider', '226333-227312', 'Exploration']
['p4', '00:22:59', 'repaintFg', 'color slider', '226333-227312', 'Exploration']
['p4', '00:23:00', 'repaintBg', 'color slider', '225955-227312', 'Exploration']
['p4', '00:23:00', 'repaintFg', 'color slider', '225955-227312', 'Exploration']
['p4', '00:23:00', 'repaintBg', 'color slider', '224445-227312', 'Exploration']
['p4', '00:23:00', 'repaintFg', 'color slider', '224445-227312', 'Exploration']
['p4', '00:23:00', 'repaintBg', 'color slider', '222934-227312', 'Exploration']
['p4', '00:23:00', 'repaintFg', 'color slider', '222934-227312', 'Exploration']
['p4', '00:23:00', 'repaintBg', 'color slider', '221424-227312', 'Exploration']
['p4', '00:23:00', 'repaintFg', 'color slider', '221424-227312', 'Exploration']
['p4', '00:23:00', 'repaintBg', 'color slider', '218026-227312', 'Exploration']
['p4', '00:23:00', 'repaintFg', 'color slider', '218026-227312', 'Exploration']
['p4', '00:23:00', 'repaintBg', 'color slider', '214250-227312', 'Exploration']
['p4', '00:23:00', 'repaintFg', 'color slider', '214250-227312', 'Exploration']
['p4', '00:23:00', 'repaintBg', 'color slider', '211606-227312', 'Exploration']
['p4', '00:23:00', 'repaintFg', 'color slider', '211606-227312', 'Exploration']
['p4', '00:23:00', 'repaintBg', 'color slider', '202544-227312', 'Exploration']
['p4', '00:23:00', 'repaintFg', 'color slider', '202544-227312', 'Exploration']
['p4', '00:23:00', 'repaintBg', 'color slider', '197258-227312', 'Exploration']
['p4', '00:23:00', 'repaintFg', 'color slider', '197258-227312', 'Exploration']
['p4', '00:23:00', 'repaintBg', 'color slider', '187063-227312', 'Exploration']
['p4', '00:23:00', 'repaintFg', 'color slider', '187063-227312', 'Exploration']
['p4', '00:23:00', 'repaintBg', 'color slider', '167051-227312', 'Exploration']
['p4', '00:23:00', 'repaintFg', 'color slider', '167051-227312', 'Exploration']
['p4', '00:23:00', 'repaintBg', 'color slider', '142507-227312', 'Exploration']
['p4', '00:23:00', 'repaintFg', 'color slider', '142507-227312', 'Exploration']
['p4', '00:23:00', 'repaintBg', 'color slider', '116075-227312', 'Exploration']
['p4', '00:23:00', 'repaintFg', 'color slider', '116075-227312', 'Exploration']
['p4', '00:23:00', 'repaintBg', 'color slider', '86623-227312', 'Exploration']
['p4', '00:23:00', 'repaintFg', 'color slider', '86623-227312', 'Exploration']
['p4', '00:23:00', 'repaintBg', 'color slider', '60192-227312', 'Exploration']
['p4', '00:23:00', 'repaintFg', 'color slider', '60192-227312', 'Exploration']
['p4', '00:23:00', 'repaintBg', 'color slider', '40557-227312', 'Exploration']
['p4', '00:23:00', 'repaintFg', 'color slider', '40557-227312', 'Exploration']
['p4', '00:23:00', 'repaintBg', 'color slider', '29229-227312', 'Exploration']
['p4', '00:23:00', 'repaintFg', 'color slider', '29229-227312', 'Exploration']
['p4', '00:23:00', 'repaintBg', 'color slider', '18656-227312', 'Exploration']
['p4', '00:23:00', 'repaintFg', 'color slider', '18656-227312', 'Exploration']
['p4', '00:23:00', 'repaintBg', 'color slider', '6196-227312', 'Exploration']
['p4', '00:23:00', 'repaintFg', 'color slider', '6196-227312', 'Exploration']
['p4', '00:23:00', 'repaintBg', 'color slider', '1-227312', 'Exploration']
['p4', '00:23:00', 'repaintFg', 'color slider', '1-227312', 'Exploration']
['p4', '00:23:03', 'repaintBg', 'color slider', '1-226710', 'Exploration']
['p4', '00:23:03', 'repaintFg', 'color slider', '1-226710', 'Exploration']
['p4', '00:23:03', 'repaintBg', 'color slider', '1-224445', 'Exploration']
