p5,00:00:00,clear,undefined,undefined
p5,00:01:20,pan,geo-0-1,3,2
p5,00:01:20,pan,geo-0-1,2,1
p5,00:01:20,pan,geo-0-1,4,2
p5,00:01:20,pan,geo-0-1,2,0
p5,00:01:20,pan,geo-0-1,2,1
p5,00:01:20,pan,geo-0-1,1,0
p5,00:01:20,pan,geo-0-1,2,0
p5,00:01:20,pan,geo-0-1,1,0
p5,00:01:20,pan,geo-0-1,0,0
p5,00:01:20,pan,geo-0-1,1,0
p5,00:01:20,pan,geo-0-1,0,0
p5,00:01:21,pan,geo-0-1,1,0
p5,00:01:21,pan,geo-0-1,0,0
p5,00:01:21,pan,geo-0-1,1,0
p5,00:01:21,pan,geo-0-1,1,-1
p5,00:01:21,pan,geo-0-1,0,0
p5,00:01:21,pan,geo-0-1,1,0
p5,00:01:21,pan,geo-0-1,0,-1
p5,00:01:21,pan,geo-0-1,1,0
p5,00:01:21,pan,geo-0-1,0,0
p5,00:01:21,pan,geo-0-1,0,1
p5,00:01:21,pan,geo-0-1,-2,3
p5,00:01:21,pan,geo-0-1,-3,2
p5,00:01:21,pan,geo-0-1,2,0
p5,00:01:21,pan,geo-0-1,1,0
p5,00:01:21,pan,geo-0-1,2,0
p5,00:01:21,pan,geo-0-1,1,-1
p5,00:01:21,pan,geo-0-1,1,0
p5,00:01:21,pan,geo-0-1,4,-1
p5,00:01:21,pan,geo-0-1,7,-1
p5,00:01:21,pan,geo-0-1,2,0
p5,00:01:21,pan,geo-0-1,0,0
p5,00:01:21,pan,geo-0-1,1,0
p5,00:01:22,pan,geo-0-1,0,0
p5,00:01:22,pan,geo-0-1,0,-1
p5,00:01:22,pan,geo-0-1,0,0
p5,00:01:29,range select,bar-5,5-1-1-1_
p5,00:01:31,range select,bar-5,5-0-0-1_
p5,00:01:33,range select,bar-5,5-1-1-1_
p5,00:01:38,range select,bar-5,5-0-0-1_
p5,00:01:47,range select,bar-5,5-1-1-1_
p5,00:01:51,range select,bar-5,5-2-2-1_
p5,00:01:52,pan,geo-0-1,0,0
p5,00:01:52,pan,geo-0-1,3,4
p5,00:01:52,pan,geo-0-1,2,3
p5,00:01:52,pan,geo-0-1,5,8
p5,00:01:52,pan,geo-0-1,4,5
p5,00:01:53,pan,geo-0-1,5,2
p5,00:01:53,pan,geo-0-1,15,8
p5,00:01:53,pan,geo-0-1,16,3
p5,00:01:53,pan,geo-0-1,3,0
p5,00:01:53,pan,geo-0-1,9,2
p5,00:01:53,pan,geo-0-1,4,0
p5,00:01:53,pan,geo-0-1,3,-1
p5,00:01:53,pan,geo-0-1,1,-1
p5,00:01:53,pan,geo-0-1,1,0
p5,00:01:53,pan,geo-0-1,2,0
p5,00:01:53,pan,geo-0-1,3,0
p5,00:01:53,pan,geo-0-1,4,0
p5,00:01:53,pan,geo-0-1,2,0
p5,00:01:53,pan,geo-0-1,1,-1
p5,00:01:53,pan,geo-0-1,3,-1
p5,00:01:53,pan,geo-0-1,1,-1
p5,00:01:53,pan,geo-0-1,1,-2
p5,00:01:53,pan,geo-0-1,1,-1
p5,00:01:53,pan,geo-0-1,1,0
p5,00:01:53,pan,geo-0-1,3,-3
p5,00:01:53,pan,geo-0-1,2,-1
p5,00:01:53,pan,geo-0-1,1,-1
p5,00:01:53,pan,geo-0-1,3,-1
p5,00:01:53,pan,geo-0-1,0,-1
p5,00:01:53,pan,geo-0-1,0,0
p5,00:01:56,pan,geo-0-1,0,-1
p5,00:01:56,pan,geo-0-1,1,-2
p5,00:01:56,pan,geo-0-1,2,-5
p5,00:01:56,pan,geo-0-1,2,-8
p5,00:01:56,pan,geo-0-1,0,-6
p5,00:01:56,pan,geo-0-1,1,-6
p5,00:01:56,pan,geo-0-1,0,-3
p5,00:01:56,pan,geo-0-1,0,-4
