['p8', '01:01:55', 'brush', 'hist-3', '3-0-0-0_', 'Interface-feedback']
['p8', '01:01:56', 'clear', 'undefined', 'undefined', 'Interface-feedback']
['p8', '01:01:56', 'brush', 'hist-3', '3-0-0-0_', 'Interface-feedback']
['p8', '01:01:57', 'brush', 'hist-3', '3-1-1-0_', 'Interface-feedback']
['p8', '01:01:57', 'brush', 'hist-3', '3-2-2-0_', 'Interface-feedback']
['p8', '01:01:57', 'brush', 'hist-3', '3-1-1-0_', 'Interface-feedback']
['p8', '01:01:57', 'brush', 'hist-3', '3-0-0-0_', 'Interface-feedback']
['p8', '01:02:03', 'brush', 'hist-3', '3-1-1-0_', 'Question']
['p8', '01:02:04', 'brush', 'hist-3', '3-0-0-0_', 'Question']
['p8', '01:02:05', 'brush', 'hist-3', '3-1-1-0_', 'Question']
['p8', '01:02:06', 'brush', 'hist-3', '3-2-2-0_', 'Question']
['p8', '01:02:08', 'brush', 'hist-3', '3-1-1-0_', 'Question']
['p8', '01:02:08', 'brush', 'hist-3', '3-0-0-0_', 'Question']
['p8', '01:02:10', 'brush', 'hist-3', '3-1-1-0_', 'Question']
['p8', '01:02:10', 'brush', 'hist-3', '3-3-3-0_', 'Question']
['p8', '01:02:11', 'pan', 'geo-0-1', '0', '0', 'Question']
['p8', '01:02:11', 'pan', 'geo-0-1', '-1', '-1', 'Question']
['p8', '01:02:11', 'pan', 'geo-0-1', '0', '0', 'Question']
['p8', '01:02:11', 'pan', 'geo-0-1', '0', '-1', 'Question']
['p8', '01:02:11', 'pan', 'geo-0-1', '-1', '-4', 'Question']
['p8', '01:02:11', 'pan', 'geo-0-1', '-1', '-3', 'Question']
['p8', '01:02:11', 'pan', 'geo-0-1', '0', '-3', 'Question']
['p8', '01:02:11', 'pan', 'geo-0-1', '0', '-7', 'Question']
['p8', '01:02:11', 'pan', 'geo-0-1', '0', '-2', 'Question']
['p8', '01:02:11', 'pan', 'geo-0-1', '0', '-10', 'Question']
['p8', '01:02:11', 'pan', 'geo-0-1', '-1', '-6', 'Question']
['p8', '01:02:11', 'pan', 'geo-0-1', '0', '-4', 'Question']
['p8', '01:02:11', 'pan', 'geo-0-1', '0', '-7', 'Question']
['p8', '01:02:11', 'pan', 'geo-0-1', '1', '-6', 'Question']
['p8', '01:02:11', 'pan', 'geo-0-1', '0', '-1', 'Question']
['p8', '01:02:11', 'pan', 'geo-0-1', '0', '0', 'Question']
['p8', '01:02:12', 'pan', 'geo-0-1', '0', '-1', 'Question']
['p8', '01:02:12', 'pan', 'geo-0-1', '1', '-1', 'Question']
['p8', '01:02:12', 'pan', 'geo-0-1', '0', '-1', 'Question']
