The next one (u69) in Europe and North America.,00:32:53,(Sensemaking+hist-3),brush,0.25,hist-3,2
The next one (u69) in Europe and North America.,00:32:54,(Sensemaking+hist-3),brush,0.25,hist-3,2
The next one (u69) in Europe and North America.,00:32:54,(Sensemaking+hist-3),brush,0.25,hist-3,2
The next one (u69) in Europe and North America.,00:32:54,(Sensemaking+hist-3),brush,0.25,hist-3,2
The next one (u69) in Europe and North America.,00:32:54,(Sensemaking+hist-3),brush,0.25,hist-3,2
The next one (u69) in Europe and North America.,00:32:54,(Sensemaking+hist-3),brush,0.25,hist-3,2
The next one (u69) in Europe and North America.,00:32:54,(Sensemaking+hist-3),brush,0.25,hist-3,2
The next one (u69) in Europe and North America.,00:32:54,(Sensemaking+hist-3),brush,0.25,hist-3,2
The next one (u69) in Europe and North America.,00:32:54,(Sensemaking+hist-3),brush,0.25,hist-3,2
The next one (u69) in Europe and North America.,00:32:54,(Sensemaking+hist-3),brush,0.25,hist-3,2
The next one (u69) in Europe and North America.,00:32:54,(Sensemaking+hist-3),brush,0.25,hist-3,2
The next one (u69) in Europe and North America.,00:32:54,(Sensemaking+undefined),clear,0.25,undefined,2
The next one (u69) in Europe and North America.,00:32:54,(Sensemaking+hist-4),brush,0.25,hist-4,2
The next one (u69) in Europe and North America.,00:32:54,(Sensemaking+hist-4),brush,0.25,hist-4,2
The next one (u69) in Europe and North America.,00:32:54,(Sensemaking+hist-4),brush,0.25,hist-4,2
The next one (u69) in Europe and North America.,00:32:54,(Sensemaking+hist-4),brush,0.25,hist-4,2
The next one (u69) in Europe and North America.,00:32:54,(Sensemaking+hist-4),brush,0.25,hist-4,2
The next one (u69) in Europe and North America.,00:32:54,(Sensemaking+hist-4),brush,0.25,hist-4,2
The next one (u69) in Europe and North America.,00:32:54,(Sensemaking+undefined),clear,0.25,undefined,2
The next one (u69) in Europe and North America.,00:32:57,(Sensemaking+bar-5),brush,0.25,bar-5,2
The next one (u69) in Europe and North America.,00:32:57,(Sensemaking+undefined),clear,0.25,undefined,2
The next one (u69) in Europe and North America.,00:32:57,(Sensemaking+bar-5),brush,0.25,bar-5,2
The next one (u69) in Europe and North America.,00:32:57,(Sensemaking+bar-5),range select,0.25,bar-5,2
The next one (u69) in Europe and North America.,00:33:07,(Sensemaking+log scale),repaintBg,0.25,log scale,2
The next one (u69) in Europe and North America.,00:33:07,(Sensemaking+log scale),repaintFg,0.25,log scale,2
So these top travelers, there's another one with Asia, North America, a little bit of Europe. ,00:33:22,(Sensemaking+bar-5),range select,0.25,bar-5,2
So I try to look at September, am I allowed to do multiple selection thing like this? ,00:33:31,(Interface-feedback+bar-5),range select,0.0,bar-5,2
So I try to look at September, am I allowed to do multiple selection thing like this? ,00:33:46,(Interface-feedback+undefined),clear,0.0,undefined,2
So I try to look at September, am I allowed to do multiple selection thing like this? ,00:33:47,(Interface-feedback+bar-5),brush,0.0,bar-5,2
So I try to look at September, am I allowed to do multiple selection thing like this? ,00:33:47,(Interface-feedback+bar-5),brush,0.0,bar-5,2
So I try to look at September, am I allowed to do multiple selection thing like this? ,00:33:47,(Interface-feedback+bar-5),brush,0.0,bar-5,2
So I try to look at September, am I allowed to do multiple selection thing like this? ,00:33:47,(Interface-feedback+bar-5),brush,0.0,bar-5,2
So I try to look at September, am I allowed to do multiple selection thing like this? ,00:33:47,(Interface-feedback+bar-5),brush,0.0,bar-5,2
So I try to look at September, am I allowed to do multiple selection thing like this? ,00:33:47,(Interface-feedback+bar-5),brush,0.0,bar-5,2
So I try to look at September, am I allowed to do multiple selection thing like this? ,00:33:47,(Interface-feedback+bar-5),brush,0.0,bar-5,2
So I try to look at September, am I allowed to do multiple selection thing like this? ,00:33:47,(Interface-feedback+bar-5),brush,0.0,bar-5,2
So I try to look at September, am I allowed to do multiple selection thing like this? ,00:33:47,(Interface-feedback+bar-5),brush,0.0,bar-5,2
So I try to look at September, am I allowed to do multiple selection thing like this? ,00:33:47,(Interface-feedback+bar-5),brush,0.0,bar-5,2
So I try to look at September, am I allowed to do multiple selection thing like this? ,00:33:47,(Interface-feedback+bar-5),brush,0.0,bar-5,2
So I try to look at September, am I allowed to do multiple selection thing like this? ,00:33:47,(Interface-feedback+bar-5),brush,0.0,bar-5,2
So I try to look at September, am I allowed to do multiple selection thing like this? ,00:33:48,(Interface-feedback+bar-5),brush,0.0,bar-5,2
So I try to look at September, am I allowed to do multiple selection thing like this? ,00:33:53,(Interface-feedback+bar-5),brush,0.0,bar-5,2
So I try to look at September, am I allowed to do multiple selection thing like this? ,00:33:56,(Interface-feedback+bar-5),brush,0.0,bar-5,2
So I try to look at September, am I allowed to do multiple selection thing like this? ,00:33:57,(Interface-feedback+bar-5),brush,0.0,bar-5,2
So I try to look at September, am I allowed to do multiple selection thing like this? ,00:33:57,(Interface-feedback+bar-5),brush,0.0,bar-5,2
So I try to look at September, am I allowed to do multiple selection thing like this? ,00:33:59,(Interface-feedback+bar-5),brush,0.0,bar-5,2
So I try to look at September, am I allowed to do multiple selection thing like this? ,00:34:05,(Interface-feedback+bar-5),brush,0.0,bar-5,2
So I try to look at September, am I allowed to do multiple selection thing like this? ,00:34:09,(Interface-feedback+bar-5),brush,0.0,bar-5,2
So I try to look at September, am I allowed to do multiple selection thing like this? ,00:34:09,(Interface-feedback+bar-5),brush,0.0,bar-5,2
So I try to look at September, am I allowed to do multiple selection thing like this? ,00:34:09,(Interface-feedback+bar-5),brush,0.0,bar-5,2
So I try to look at September, am I allowed to do multiple selection thing like this? ,00:34:09,(Interface-feedback+bar-5),brush,0.0,bar-5,2
So I try to look at September, am I allowed to do multiple selection thing like this? ,00:34:11,(Interface-feedback+bar-5),range select,0.0,bar-5,2
