Time,State,action,reward,visualization
00:11:02,(Question+bar-5),range select,0.0,bar-5
00:11:03,(Question+bar-5),range select,0.0,bar-5
00:11:04,(Question+bar-5),range select,0.0,bar-5
00:11:05,(Question+bar-5),range select,0.0,bar-5
00:11:07,(Question+hist-2),range select,0.0,hist-2
00:11:08,(Question+bar-5),range select,0.0,bar-5
00:11:11,(Question+hist-2),range select,0.0,hist-2
00:11:12,(Question+hist-2),range select,0.0,hist-2
00:11:13,(Question+hist-2),range select,0.0,hist-2
00:11:52,(Question+undefined),clear,0.0,undefined
00:13:03,(Question+geo-0-1),pan,0.0,geo-0-1
00:13:04,(Question+geo-0-1),pan,0.0,geo-0-1
00:13:05,(Question+geo-0-1),pan,0.0,geo-0-1
00:13:06,(Question+geo-0-1),pan,0.0,geo-0-1
00:13:09,(Question+geo-0-1),range select,0.0,geo-0-1
00:13:10,(Question+geo-0-1),range select,0.0,geo-0-1
00:13:11,(Question+geo-0-1),range select,0.0,geo-0-1
00:13:12,(Question+geo-0-1),range select,0.0,geo-0-1
00:13:14,(Question+geo-0-1),range select,0.0,geo-0-1
00:13:19,(Question+undefined),clear,0.0,undefined
00:13:19,(Question+hist-4),brush,0.0,hist-4
00:13:21,(Question+undefined),clear,0.0,undefined
00:13:21,(Question+hist-4),brush,0.0,hist-4
00:13:21,(Question+undefined),clear,0.0,undefined
00:13:22,(Question+hist-4),brush,0.0,hist-4
00:13:23,(Question+hist-4),brush,0.0,hist-4
00:13:23,(Question+undefined),clear,0.0,undefined
00:13:23,(Question+hist-4),brush,0.0,hist-4
00:13:23,(Question+undefined),clear,0.0,undefined
00:13:26,(Question+geo-0-1),pan,0.0,geo-0-1
00:13:29,(Question+geo-0-1),pan,0.0,geo-0-1
00:13:30,(Question+geo-0-1),pan,0.0,geo-0-1
00:13:31,(Question+geo-0-1),pan,0.0,geo-0-1
00:13:32,(Question+geo-0-1),pan,0.0,geo-0-1
00:13:38,(Question+geo-0-1),pan,0.0,geo-0-1
00:13:38,(Sensemaking+geo-0-1),zoom,0.0,geo-0-1
00:13:39,(Sensemaking+geo-0-1),pan,0.0,geo-0-1
00:13:40,(Sensemaking+geo-0-1),pan,0.0,geo-0-1
00:13:41,(Sensemaking+geo-0-1),pan,0.0,geo-0-1
00:13:43,(Question+geo-0-1),pan,0.0,geo-0-1
00:13:43,(Question+geo-0-1),pan,0.0,geo-0-1
00:13:44,(Question+geo-0-1),pan,0.0,geo-0-1
00:13:45,(Question+geo-0-1),pan,0.0,geo-0-1
00:13:46,(Question+geo-0-1),pan,0.0,geo-0-1
00:13:48,(Question+geo-0-1),pan,0.0,geo-0-1
00:13:49,(Question+geo-0-1),pan,0.0,geo-0-1
00:13:50,(Question+geo-0-1),pan,0.0,geo-0-1
00:13:51,(Question+geo-0-1),range select,0.0,geo-0-1
00:13:52,(Sensemaking+geo-0-1),range select,0.0,geo-0-1
00:13:53,(Sensemaking+geo-0-1),range select,0.0,geo-0-1
00:13:54,(Sensemaking+geo-0-1),range select,0.0,geo-0-1
00:13:55,(Sensemaking+geo-0-1),range select,0.0,geo-0-1
00:13:56,(Sensemaking+geo-0-1),range select,0.0,geo-0-1
00:13:57,(Sensemaking+geo-0-1),range select,0.0,geo-0-1
00:15:36,(Sensemaking+undefined),clear,0.0,undefined
00:15:38,(Sensemaking+geo-0-1),pan,0.0,geo-0-1
00:15:39,(Sensemaking+geo-0-1),pan,0.0,geo-0-1
00:15:41,(Sensemaking+geo-0-1),pan,0.0,geo-0-1
00:15:43,(Sensemaking+geo-0-1),range select,0.0,geo-0-1
00:15:48,(Sensemaking+geo-0-1),pan,0.0,geo-0-1
00:15:49,(Sensemaking+geo-0-1),pan,0.0,geo-0-1
00:15:50,(Sensemaking+geo-0-1),pan,0.0,geo-0-1
00:15:50,(Sensemaking+geo-0-1),pan,0.0,geo-0-1
00:15:51,(Sensemaking+geo-0-1),pan,0.0,geo-0-1
00:15:54,(Sensemaking+geo-0-1),range select,0.0,geo-0-1
00:15:56,(Sensemaking+geo-0-1),range select,0.0,geo-0-1
00:15:57,(Sensemaking+geo-0-1),range select,0.0,geo-0-1
00:16:05,(Sensemaking+geo-0-1),pan,0.0,geo-0-1
00:16:14,(Sensemaking+geo-0-1),pan,0.0,geo-0-1
00:16:15,(Sensemaking+geo-0-1),pan,0.0,geo-0-1
00:16:15,(Sensemaking+undefined),clear,0.0,undefined
00:16:43,(Sensemaking+geo-0-1),pan,0.0,geo-0-1
00:16:44,(Sensemaking+geo-0-1),pan,0.0,geo-0-1
00:16:47,(Sensemaking+geo-0-1),range select,0.0,geo-0-1
00:16:48,(Sensemaking+geo-0-1),range select,0.0,geo-0-1
00:17:09,(Sensemaking+geo-0-1),pan,0.0,geo-0-1
00:17:10,(Sensemaking+geo-0-1),pan,0.0,geo-0-1
00:17:11,(Sensemaking+geo-0-1),pan,0.0,geo-0-1
00:17:13,(Sensemaking+geo-0-1),pan,0.0,geo-0-1
00:17:14,(Sensemaking+geo-0-1),pan,0.0,geo-0-1
00:17:16,(Sensemaking+geo-0-1),pan,0.0,geo-0-1
00:17:16,(Sensemaking+geo-0-1),pan,0.0,geo-0-1
00:17:17,(Sensemaking+geo-0-1),pan,0.0,geo-0-1
00:17:18,(Sensemaking+geo-0-1),range select,0.0,geo-0-1
00:17:19,(Sensemaking+geo-0-1),range select,0.0,geo-0-1
00:17:30,(Sensemaking+undefined),clear,0.0,undefined
00:17:32,(Sensemaking+geo-0-1),pan,0.0,geo-0-1
00:17:33,(Sensemaking+geo-0-1),pan,0.0,geo-0-1
00:17:34,(Sensemaking+geo-0-1),pan,0.0,geo-0-1
00:17:42,(Sensemaking+undefined),clear,0.0,undefined
00:17:42,(Sensemaking+bar-5),brush,0.0,bar-5
00:17:42,(Sensemaking+undefined),clear,0.0,undefined
00:17:43,(Sensemaking+hist-4),brush,0.0,hist-4
00:17:43,(Sensemaking+undefined),clear,0.0,undefined
00:17:45,(Sensemaking+geo-0-1),pan,0.0,geo-0-1
00:17:45,(Sensemaking+geo-0-1),pan,0.0,geo-0-1
00:17:45,(Sensemaking+undefined),clear,0.0,undefined
00:17:47,(Sensemaking+geo-0-1),pan,0.0,geo-0-1
00:17:54,(Sensemaking+undefined),clear,0.0,undefined
