['p13', '00:13:37', 'range select', 'geo-0-1', '0-805-974-5_1-1727-1849-5_', 'Sensemaking']
['p13', '00:13:37', 'range select', 'geo-0-1', '0-805-974-5_1-1727-1848-5_', 'Sensemaking']
['p13', '00:13:37', 'range select', 'geo-0-1', '0-805-974-5_1-1727-1847-5_', 'Sensemaking']
['p13', '00:13:38', 'range select', 'geo-0-1', '0-805-975-5_1-1727-1847-5_', 'Sensemaking']
['p13', '00:13:41', 'range select', 'geo-0-1', '0-864-865-5_1-1771-1772-5_', 'Sensemaking']
['p13', '00:13:41', 'range select', 'geo-0-1', '0-864-866-5_1-1771-1773-5_', 'Sensemaking']
['p13', '00:13:41', 'range select', 'geo-0-1', '0-864-870-5_1-1771-1778-5_', 'Sensemaking']
['p13', '00:13:41', 'range select', 'geo-0-1', '0-864-876-5_1-1771-1783-5_', 'Sensemaking']
['p13', '00:13:41', 'range select', 'geo-0-1', '0-864-884-5_1-1771-1790-5_', 'Sensemaking']
['p13', '00:13:41', 'range select', 'geo-0-1', '0-864-889-5_1-1771-1795-5_', 'Sensemaking']
['p13', '00:13:41', 'range select', 'geo-0-1', '0-864-893-5_1-1771-1798-5_', 'Sensemaking']
['p13', '00:13:41', 'range select', 'geo-0-1', '0-864-895-5_1-1771-1801-5_', 'Sensemaking']
['p13', '00:13:41', 'range select', 'geo-0-1', '0-864-897-5_1-1771-1803-5_', 'Sensemaking']
['p13', '00:13:41', 'range select', 'geo-0-1', '0-864-899-5_1-1771-1805-5_', 'Sensemaking']
['p13', '00:13:41', 'range select', 'geo-0-1', '0-864-901-5_1-1771-1808-5_', 'Sensemaking']
['p13', '00:13:41', 'range select', 'geo-0-1', '0-864-902-5_1-1771-1809-5_', 'Sensemaking']
['p13', '00:13:41', 'range select', 'geo-0-1', '0-864-902-5_1-1771-1811-5_', 'Sensemaking']
['p13', '00:13:41', 'range select', 'geo-0-1', '0-864-903-5_1-1771-1812-5_', 'Sensemaking']
['p13', '00:13:41', 'range select', 'geo-0-1', '0-864-903-5_1-1771-1813-5_', 'Sensemaking']
['p13', '00:13:41', 'range select', 'geo-0-1', '0-864-904-5_1-1771-1814-5_', 'Sensemaking']
['p13', '00:13:41', 'range select', 'geo-0-1', '0-864-904-5_1-1771-1815-5_', 'Sensemaking']
['p13', '00:13:41', 'range select', 'geo-0-1', '0-864-905-5_1-1771-1816-5_', 'Sensemaking']
['p13', '00:13:41', 'range select', 'geo-0-1', '0-864-905-5_1-1771-1817-5_', 'Sensemaking']
['p13', '00:13:41', 'range select', 'geo-0-1', '0-864-906-5_1-1771-1819-5_', 'Sensemaking']
['p13', '00:13:41', 'range select', 'geo-0-1', '0-864-906-5_1-1771-1820-5_', 'Sensemaking']
['p13', '00:13:41', 'range select', 'geo-0-1', '0-864-907-5_1-1771-1822-5_', 'Sensemaking']
['p13', '00:13:41', 'range select', 'geo-0-1', '0-864-908-5_1-1771-1824-5_', 'Sensemaking']
['p13', '00:13:41', 'range select', 'geo-0-1', '0-864-909-5_1-1771-1826-5_', 'Sensemaking']
['p13', '00:13:42', 'range select', 'geo-0-1', '0-864-909-5_1-1771-1825-5_', 'Sensemaking']
['p13', '00:13:42', 'range select', 'geo-0-1', '0-864-908-5_1-1771-1824-5_', 'Sensemaking']
['p13', '00:13:42', 'range select', 'geo-0-1', '0-864-907-5_1-1771-1823-5_', 'Sensemaking']
['p13', '00:13:42', 'range select', 'geo-0-1', '0-864-906-5_1-1771-1821-5_', 'Sensemaking']
['p13', '00:13:42', 'range select', 'geo-0-1', '0-864-905-5_1-1771-1820-5_', 'Sensemaking']
['p13', '00:13:42', 'range select', 'geo-0-1', '0-864-903-5_1-1771-1819-5_', 'Sensemaking']
['p13', '00:13:42', 'range select', 'geo-0-1', '0-864-902-5_1-1771-1818-5_', 'Sensemaking']
['p13', '00:13:42', 'range select', 'geo-0-1', '0-864-901-5_1-1771-1817-5_', 'Sensemaking']
['p13', '00:13:42', 'range select', 'geo-0-1', '0-864-900-5_1-1771-1817-5_', 'Sensemaking']
['p13', '00:13:42', 'range select', 'geo-0-1', '0-864-900-5_1-1771-1816-5_', 'Sensemaking']
['p13', '00:13:42', 'range select', 'geo-0-1', '0-864-899-5_1-1771-1816-5_', 'Sensemaking']
['p13', '00:13:42', 'range select', 'geo-0-1', '0-864-898-5_1-1771-1815-5_', 'Sensemaking']
['p13', '00:13:42', 'range select', 'geo-0-1', '0-864-898-5_1-1771-1814-5_', 'Sensemaking']
['p13', '00:13:42', 'range select', 'geo-0-1', '0-864-897-5_1-1771-1814-5_', 'Sensemaking']
['p13', '00:13:42', 'range select', 'geo-0-1', '0-864-897-5_1-1771-1813-5_', 'Sensemaking']
['p13', '00:13:42', 'range select', 'geo-0-1', '0-864-897-5_1-1771-1812-5_', 'Sensemaking']
['p13', '00:13:42', 'range select', 'geo-0-1', '0-864-897-5_1-1771-1811-5_', 'Sensemaking']
['p13', '00:13:42', 'range select', 'geo-0-1', '0-864-897-5_1-1771-1810-5_', 'Sensemaking']
['p13', '00:13:42', 'range select', 'geo-0-1', '0-864-897-5_1-1771-1809-5_', 'Sensemaking']
['p13', '00:13:42', 'range select', 'geo-0-1', '0-864-897-5_1-1771-1808-5_', 'Sensemaking']
['p13', '00:13:42', 'range select', 'geo-0-1', '0-864-898-5_1-1771-1807-5_', 'Sensemaking']
['p13', '00:13:42', 'range select', 'geo-0-1', '0-864-899-5_1-1771-1805-5_', 'Sensemaking']
['p13', '00:13:43', 'range select', 'geo-0-1', '0-864-900-5_1-1771-1804-5_', 'Sensemaking']
['p13', '00:13:43', 'range select', 'geo-0-1', '0-864-900-5_1-1771-1803-5_', 'Sensemaking']
