['p13', '00:02:06', 'zoom', 'geo-0-1', '4', 'Question / Hypothesis']
['p13', '00:02:07', 'pan', 'geo-0-1', '0', '0', 'Question / Hypothesis']
['p13', '00:02:07', 'tile cached', 'undefined', '0-768-1023-3x1-0-255-3x2-0-11-0', 'Question / Hypothesis']
['p13', '00:02:07', 'tile cached', 'undefined', '0-0-255-3x1-0-255-3x2-0-11-0', 'Question / Hypothesis']
['p13', '00:02:07', 'tile cached', 'undefined', '0-256-511-3x1-0-255-3x2-0-11-0', 'Question / Hypothesis']
['p13', '00:02:07', 'tile cached', 'undefined', '0-768-1023-3x1-0-255-3x3-0-30-0', 'Question / Hypothesis']
['p13', '00:02:07', 'tile cached', 'undefined', '0-0-255-3x1-0-255-3x3-0-30-0', 'Question / Hypothesis']
['p13', '00:02:07', 'tile cached', 'undefined', '0-256-511-3x1-0-255-3x3-0-30-0', 'Question / Hypothesis']
['p13', '00:02:07', 'tile cached', 'undefined', '0-768-1023-3x1-0-255-3x4-0-23-0', 'Question / Hypothesis']
['p13', '00:02:07', 'tile cached', 'undefined', '0-256-511-3x1-0-255-3x4-0-23-0', 'Question / Hypothesis']
['p13', '00:02:07', 'tile cached', 'undefined', '0-0-255-3x1-0-255-3x4-0-23-0', 'Question / Hypothesis']
['p13', '00:02:07', 'tile cached', 'undefined', '0-768-1023-3x1-0-255-3x5-0-29-1', 'Question / Hypothesis']
['p13', '00:02:08', 'tile cached', 'undefined', '0-1536-1791-4x1-0-255-4x4-0-23-0', 'Question / Hypothesis']
['p13', '00:02:08', 'tile cached', 'undefined', '0-1536-1791-4x1-256-511-4x4-0-23-0', 'Question / Hypothesis']
['p13', '00:02:08', 'tile cached', 'undefined', '0-0-255-3x1-0-255-3x5-0-29-1', 'Question / Hypothesis']
['p13', '00:02:08', 'tile cached', 'undefined', '0-256-511-3x1-0-255-3x5-0-29-1', 'Question / Hypothesis']
['p13', '00:02:08', 'tile cached', 'undefined', '0-1536-1791-4x1-512-767-4x4-0-23-0', 'Question / Hypothesis']
['p13', '00:02:08', 'tile cached', 'undefined', '0-1792-2047-4x1-0-255-4x4-0-23-0', 'Question / Hypothesis']
['p13', '00:02:08', 'tile cached', 'undefined', '0-0-255-4x1-0-255-4x4-0-23-0', 'Question / Hypothesis']
['p13', '00:02:08', 'tile cached', 'undefined', '0-256-511-4x1-0-255-4x4-0-23-0', 'Question / Hypothesis']
['p13', '00:02:08', 'tile cached', 'undefined', '0-256-511-4x1-256-511-4x4-0-23-0', 'Question / Hypothesis']
['p13', '00:02:08', 'tile cached', 'undefined', '0-512-767-4x1-0-255-4x4-0-23-0', 'Question / Hypothesis']
['p13', '00:02:08', 'tile cached', 'undefined', '0-512-767-4x1-256-511-4x4-0-23-0', 'Question / Hypothesis']
['p13', '00:02:08', 'tile cached', 'undefined', '0-768-1023-4x1-0-255-4x4-0-23-0', 'Question / Hypothesis']
['p13', '00:02:08', 'tile cached', 'undefined', '0-768-1023-4x1-256-511-4x4-0-23-0', 'Question / Hypothesis']
['p13', '00:02:08', 'tile cached', 'undefined', '0-0-255-2x1-256-511-2x4-0-23-0', 'Question / Hypothesis']
['p13', '00:02:08', 'tile cached', 'undefined', '0-256-511-2x1-256-511-2x4-0-23-0', 'Question / Hypothesis']
['p13', '00:02:08', 'tile cached', 'undefined', '0-0-255-2x1-0-255-2x4-0-23-0', 'Question / Hypothesis']
['p13', '00:02:08', 'tile cached', 'undefined', '0-256-511-2x1-0-255-2x4-0-23-0', 'Question / Hypothesis']
['p13', '00:02:08', 'tile cached', 'undefined', '0-256-511-2x1-0-255-2x2-0-11-0', 'Question / Hypothesis']
['p13', '00:02:08', 'tile cached', 'undefined', '0-256-511-2x1-256-511-2x2-0-11-0', 'Question / Hypothesis']
['p13', '00:02:08', 'tile cached', 'undefined', '0-0-255-2x1-0-255-2x2-0-11-0', 'Question / Hypothesis']
['p13', '00:02:08', 'tile cached', 'undefined', '0-0-255-2x1-256-511-2x2-0-11-0', 'Question / Hypothesis']
['p13', '00:02:08', 'tile cached', 'undefined', '0-256-511-2x1-0-255-2x3-0-30-0', 'Question / Hypothesis']
['p13', '00:02:08', 'tile cached', 'undefined', '0-256-511-2x1-256-511-2x3-0-30-0', 'Question / Hypothesis']
['p13', '00:02:08', 'tile cached', 'undefined', '0-0-255-2x1-256-511-2x3-0-30-0', 'Question / Hypothesis']
['p13', '00:02:08', 'tile cached', 'undefined', '0-0-255-2x1-0-255-2x3-0-30-0', 'Question / Hypothesis']
['p13', '00:02:08', 'tile cached', 'undefined', '0-0-255-2x1-0-255-2x5-0-29-1', 'Question / Hypothesis']
['p13', '00:02:08', 'tile cached', 'undefined', '0-256-511-2x1-0-255-2x5-0-29-1', 'Question / Hypothesis']
['p13', '00:02:08', 'tile cached', 'undefined', '0-256-511-2x1-256-511-2x5-0-29-1', 'Question / Hypothesis']
['p13', '00:02:08', 'tile cached', 'undefined', '0-0-255-2x1-256-511-2x5-0-29-1', 'Question / Hypothesis']
['p13', '00:02:08', 'tile cached', 'undefined', '0-512-767-3x1-0-255-3x4-0-23-0', 'Question / Hypothesis']
['p13', '00:02:08', 'tile cached', 'undefined', '0-768-1023-3x1-256-511-3x4-0-23-0', 'Question / Hypothesis']
['p13', '00:02:08', 'tile cached', 'undefined', '0-512-767-3x1-256-511-3x4-0-23-0', 'Question / Hypothesis']
['p13', '00:02:08', 'tile cached', 'undefined', '0-0-255-3x1-256-511-3x4-0-23-0', 'Question / Hypothesis']
['p13', '00:02:08', 'tile cached', 'undefined', '0-256-511-3x1-256-511-3x4-0-23-0', 'Question / Hypothesis']
['p13', '00:02:08', 'tile cached', 'undefined', '0-0-255-1x1-0-255-1x4-0-23-0', 'Question / Hypothesis']
['p13', '00:02:11', 'pan', 'geo-0-1', '-1', '0', 'Question / Hypothesis']
['p13', '00:02:11', 'pan', 'geo-0-1', '-2', '0', 'Question / Hypothesis']
['p13', '00:02:11', 'pan', 'geo-0-1', '-5', '0', 'Question / Hypothesis']
['p13', '00:02:11', 'pan', 'geo-0-1', '-6', '0', 'Question / Hypothesis']
['p13', '00:02:11', 'pan', 'geo-0-1', '0', '-1', 'Question / Hypothesis']
['p13', '00:02:11', 'pan', 'geo-0-1', '-6', '0', 'Question / Hypothesis']
['p13', '00:02:11', 'pan', 'geo-0-1', '-15', '0', 'Question / Hypothesis']
['p13', '00:02:11', 'pan', 'geo-0-1', '-16', '0', 'Question / Hypothesis']
['p13', '00:02:12', 'pan', 'geo-0-1', '-7', '1', 'Question / Hypothesis']
['p13', '00:02:12', 'pan', 'geo-0-1', '-9', '5', 'Question / Hypothesis']
['p13', '00:02:12', 'pan', 'geo-0-1', '-7', '3', 'Question / Hypothesis']
['p13', '00:02:12', 'pan', 'geo-0-1', '-24', '1', 'Question / Hypothesis']
['p13', '00:02:12', 'pan', 'geo-0-1', '-16', '0', 'Question / Hypothesis']
['p13', '00:02:12', 'pan', 'geo-0-1', '-11', '0', 'Question / Hypothesis']
['p13', '00:02:12', 'pan', 'geo-0-1', '-32', '0', 'Question / Hypothesis']
