['p13', '00:00:20', 'pan', 'geo-0-1', '-2', '4', 'Sensemaking']
['p13', '00:00:20', 'pan', 'geo-0-1', '-1', '4', 'Sensemaking']
['p13', '00:00:20', 'pan', 'geo-0-1', '0', '3', 'Sensemaking']
['p13', '00:00:20', 'pan', 'geo-0-1', '-1', '2', 'Sensemaking']
['p13', '00:00:20', 'pan', 'geo-0-1', '0', '1', 'Sensemaking']
['p13', '00:00:21', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p13', '00:00:26', 'clear', 'undefined', 'undefined', 'Sensemaking']
['p13', '00:00:26', 'brush', 'hist-4', '4-1-1-0_', 'Sensemaking']
['p13', '00:00:26', 'brush', 'hist-4', '4-2-2-0_', 'Sensemaking']
['p13', '00:00:26', 'brush', 'hist-4', '4-1-1-0_', 'Sensemaking']
['p13', '00:00:26', 'clear', 'undefined', 'undefined', 'Sensemaking']
['p13', '00:00:29', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p13', '00:00:29', 'pan', 'geo-0-1', '0', '-2', 'Sensemaking']
['p13', '00:00:29', 'pan', 'geo-0-1', '0', '-3', 'Sensemaking']
['p13', '00:00:29', 'pan', 'geo-0-1', '0', '-8', 'Sensemaking']
['p13', '00:00:30', 'pan', 'geo-0-1', '1', '-1', 'Sensemaking']
['p13', '00:00:30', 'pan', 'geo-0-1', '3', '-3', 'Sensemaking']
['p13', '00:00:30', 'pan', 'geo-0-1', '6', '-5', 'Sensemaking']
['p13', '00:00:30', 'pan', 'geo-0-1', '9', '-5', 'Sensemaking']
['p13', '00:00:30', 'pan', 'geo-0-1', '12', '-8', 'Sensemaking']
['p13', '00:00:30', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p13', '00:00:30', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p13', '00:00:30', 'pan', 'geo-0-1', '3', '-2', 'Sensemaking']
['p13', '00:00:30', 'pan', 'geo-0-1', '8', '-3', 'Sensemaking']
['p13', '00:00:30', 'pan', 'geo-0-1', '13', '-4', 'Sensemaking']
['p13', '00:00:30', 'pan', 'geo-0-1', '2', '-1', 'Sensemaking']
['p13', '00:00:30', 'pan', 'geo-0-1', '3', '-2', 'Sensemaking']
['p13', '00:00:30', 'pan', 'geo-0-1', '0', '-2', 'Sensemaking']
['p13', '00:00:30', 'pan', 'geo-0-1', '1', '-1', 'Sensemaking']
['p13', '00:00:30', 'pan', 'geo-0-1', '0', '-1', 'Sensemaking']
['p13', '00:00:30', 'pan', 'geo-0-1', '3', '-2', 'Sensemaking']
['p13', '00:00:30', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p13', '00:00:30', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p13', '00:00:30', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p13', '00:00:30', 'pan', 'geo-0-1', '1', '-1', 'Sensemaking']
['p13', '00:00:30', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
