1379186883954, pan, geo-0-1
1379186893079, zoom, geo-0-1
1379186893090, pan, geo-0-1
1379186917937, zoom, geo-0-1
1379186917953, pan, geo-0-1
1379186921974, zoom, geo-0-1
1379186921980, pan, geo-0-1
1379186923473, zoom, geo-0-1
1379186923486, pan, geo-0-1
1379186951446, range select, geo-0-1
1379186966357, pan, geo-0-1
1379186970623, zoom, geo-0-1
1379186970636, pan, geo-0-1
1379186972577, zoom, geo-0-1
1379186972586, pan, geo-0-1
1379186977236, zoom, geo-0-1
1379186977246, pan, geo-0-1
1379186981597, zoom, geo-0-1
1379186981605, pan, geo-0-1
1379186988029, range select, geo-0-1
1379187001722, pan, geo-0-1
1379187004934, zoom, geo-0-1
1379187004945, pan, geo-0-1
1379187006332, zoom, geo-0-1
1379187006341, pan, geo-0-1
1379187007473, zoom, geo-0-1
1379187007483, pan, geo-0-1
1379187013177, zoom, geo-0-1
1379187013195, pan, geo-0-1
1379187014201, zoom, geo-0-1
1379187014211, pan, geo-0-1
1379187015493, zoom, geo-0-1
1379187015501, pan, geo-0-1
1379187020130, zoom, geo-0-1
1379187020139, pan, geo-0-1
1379187021126, zoom, geo-0-1
1379187021135, pan, geo-0-1
1379187022006, zoom, geo-0-1
1379187022014, pan, geo-0-1
1379187029222, zoom, geo-0-1
1379187029230, pan, geo-0-1
1379187029953, zoom, geo-0-1
1379187029964, pan, geo-0-1
1379187035619, zoom, geo-0-1
1379187035630, pan, geo-0-1
1379187052298, zoom, geo-0-1
1379187052308, pan, geo-0-1
1379187054213, zoom, geo-0-1
1379187054223, pan, geo-0-1
1379187057072, zoom, geo-0-1
1379187057080, pan, geo-0-1
1379187059342, zoom, geo-0-1
1379187059350, pan, geo-0-1
1379187060106, zoom, geo-0-1
1379187060116, pan, geo-0-1
1379187066299, zoom, geo-0-1
1379187066308, pan, geo-0-1
1379187074126, zoom, geo-0-1
1379187074135, pan, geo-0-1
1379187075444, zoom, geo-0-1
1379187075456, pan, geo-0-1
1379187079080, brush, bar-5
1379187080399, pan, geo-0-1
1379187080509, zoom, geo-0-1
1379187080519, pan, geo-0-1
1379187084858, zoom, geo-0-1
1379187084869, pan, geo-0-1
1379187090921, zoom, geo-0-1
1379187090929, pan, geo-0-1
1379187094523, zoom, geo-0-1
1379187094536, pan, geo-0-1
1379187095545, zoom, geo-0-1
1379187095554, pan, geo-0-1
1379187097848, zoom, geo-0-1
1379187097859, pan, geo-0-1
1379187101670, zoom, geo-0-1
1379187101685, pan, geo-0-1
1379187107280, zoom, geo-0-1
1379187107291, pan, geo-0-1
1379187112261, zoom, geo-0-1
1379187112272, pan, geo-0-1
1379187114294, range select, geo-0-1
1379187118007, pan, geo-0-1
1379187120233, range select, geo-0-1
1379187126411, brush, bar-5
1379187126609, pan, geo-0-1
1379187127116, brush, bar-5
1379187129276, pan, geo-0-1
1379187129363, zoom, geo-0-1
1379187129372, pan, geo-0-1
1379187130214, zoom, geo-0-1
1379187130224, pan, geo-0-1
1379187131075, zoom, geo-0-1
1379187131084, pan, geo-0-1
1379187132096, zoom, geo-0-1
1379187132104, pan, geo-0-1
1379187144254, brush, hist-2
1379187146114, brush, hist-3
1379187146943, brush, hist-4
1379187175882, pan, geo-0-1
