['p9', '00:05:00', 'pan', 'geo-0-1', '2', '-2', 'Exploration']
['p9', '00:05:00', 'pan', 'geo-0-1', '1', '-1', 'Exploration']
['p9', '00:05:00', 'pan', 'geo-0-1', '2', '-2', 'Exploration']
['p9', '00:05:00', 'pan', 'geo-0-1', '0', '0', 'Exploration']
['p9', '00:05:02', 'pan', 'geo-0-1', '7', '1', 'Sensemaking']
['p9', '00:05:02', 'pan', 'geo-0-1', '5', '0', 'Sensemaking']
['p9', '00:05:02', 'pan', 'geo-0-1', '6', '0', 'Sensemaking']
['p9', '00:05:02', 'pan', 'geo-0-1', '3', '0', 'Sensemaking']
['p9', '00:05:02', 'pan', 'geo-0-1', '1', '1', 'Sensemaking']
['p9', '00:05:02', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p9', '00:05:02', 'pan', 'geo-0-1', '2', '0', 'Sensemaking']
['p9', '00:05:02', 'pan', 'geo-0-1', '5', '0', 'Sensemaking']
['p9', '00:05:03', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p9', '00:05:08', 'range select', 'bar-5', '5-8-8-1_', 'Question / Hypothesis']
['p9', '00:05:16', 'range select', 'bar-5', '5-9-9-1_', 'Sensemaking']
