['p9', '00:06:41', 'brush', 'hist-4', '4-5-5-0_', 'Sensemaking']
['p9', '00:06:41', 'brush', 'hist-4', '4-6-6-0_', 'Sensemaking']
['p9', '00:06:41', 'brush', 'hist-4', '4-7-7-0_', 'Sensemaking']
['p9', '00:06:42', 'brush', 'hist-4', '4-8-8-0_', 'Sensemaking']
['p9', '00:06:42', 'brush', 'hist-4', '4-9-9-0_', 'Sensemaking']
['p9', '00:06:42', 'brush', 'hist-4', '4-10-10-0_', 'Sensemaking']
['p9', '00:06:42', 'brush', 'hist-4', '4-11-11-0_', 'Sensemaking']
['p9', '00:06:42', 'brush', 'hist-4', '4-12-12-0_', 'Sensemaking']
['p9', '00:06:43', 'brush', 'hist-4', '4-13-13-0_', 'Sensemaking']
['p9', '00:06:43', 'brush', 'hist-4', '4-14-14-0_', 'Sensemaking']
['p9', '00:06:44', 'brush', 'hist-4', '4-13-13-0_', 'Sensemaking']
['p9', '00:06:44', 'brush', 'hist-4', '4-12-12-0_', 'Sensemaking']
['p9', '00:06:45', 'brush', 'hist-4', '4-11-11-0_', 'Sensemaking']
['p9', '00:06:45', 'brush', 'hist-4', '4-12-12-0_', 'Sensemaking']
['p9', '00:06:46', 'brush', 'hist-4', '4-13-13-0_', 'Sensemaking']
['p9', '00:06:46', 'brush', 'hist-4', '4-14-14-0_', 'Sensemaking']
['p9', '00:06:47', 'brush', 'hist-4', '4-15-15-0_', 'Sensemaking']
['p9', '00:06:47', 'brush', 'hist-4', '4-16-16-0_', 'Sensemaking']
['p9', '00:06:47', 'brush', 'hist-4', '4-17-17-0_', 'Sensemaking']
['p9', '00:06:47', 'brush', 'hist-4', '4-18-18-0_', 'Sensemaking']
['p9', '00:06:47', 'brush', 'hist-4', '4-19-19-0_', 'Sensemaking']
['p9', '00:06:50', 'brush', 'hist-4', '4-20-20-0_', 'Sensemaking']
['p9', '00:06:50', 'brush', 'hist-4', '4-21-21-0_', 'Sensemaking']
['p9', '00:06:50', 'brush', 'hist-4', '4-22-22-0_', 'Sensemaking']
['p9', '00:06:50', 'brush', 'hist-4', '4-23-23-0_', 'Sensemaking']
['p9', '00:06:50', 'brush', 'hist-4', '4-24-24-0_', 'Sensemaking']
['p9', '00:06:50', 'clear', 'undefined', 'undefined', 'Sensemaking']
['p9', '00:06:50', 'brush', 'hist-4', '4-23-23-0_', 'Sensemaking']
['p9', '00:06:50', 'brush', 'hist-4', '4-22-22-0_', 'Sensemaking']
['p9', '00:06:50', 'brush', 'hist-4', '4-21-21-0_', 'Sensemaking']
['p9', '00:06:50', 'brush', 'hist-4', '4-20-20-0_', 'Sensemaking']
['p9', '00:06:50', 'brush', 'hist-4', '4-19-19-0_', 'Sensemaking']
['p9', '00:06:50', 'brush', 'hist-4', '4-18-18-0_', 'Sensemaking']
['p9', '00:06:50', 'brush', 'hist-4', '4-15-15-0_', 'Sensemaking']
['p9', '00:06:50', 'brush', 'hist-4', '4-14-14-0_', 'Sensemaking']
['p9', '00:06:50', 'brush', 'hist-4', '4-13-13-0_', 'Sensemaking']
['p9', '00:06:50', 'brush', 'hist-4', '4-12-12-0_', 'Sensemaking']
['p9', '00:06:50', 'brush', 'hist-4', '4-11-11-0_', 'Sensemaking']
['p9', '00:06:50', 'brush', 'hist-4', '4-10-10-0_', 'Sensemaking']
['p9', '00:06:51', 'brush', 'hist-4', '4-9-9-0_', 'Sensemaking']
['p9', '00:06:51', 'brush', 'hist-4', '4-8-8-0_', 'Sensemaking']
['p9', '00:06:51', 'brush', 'hist-4', '4-7-7-0_', 'Sensemaking']
['p9', '00:06:51', 'brush', 'hist-4', '4-6-6-0_', 'Sensemaking']
['p9', '00:06:51', 'brush', 'hist-4', '4-5-5-0_', 'Sensemaking']
['p9', '00:06:51', 'brush', 'hist-4', '4-4-4-0_', 'Sensemaking']
['p9', '00:06:51', 'brush', 'hist-4', '4-3-3-0_', 'Sensemaking']
['p9', '00:06:51', 'brush', 'hist-4', '4-2-2-0_', 'Sensemaking']
['p9', '00:06:51', 'brush', 'hist-4', '4-1-1-0_', 'Sensemaking']
['p9', '00:06:51', 'brush', 'hist-4', '4-0-0-0_', 'Sensemaking']
['p9', '00:06:51', 'clear', 'undefined', 'undefined', 'Sensemaking']
['p9', '00:06:51', 'brush', 'hist-4', '4-0-0-0_', 'Sensemaking']
['p9', '00:06:51', 'brush', 'hist-4', '4-1-1-0_', 'Sensemaking']
['p9', '00:06:51', 'brush', 'hist-4', '4-2-2-0_', 'Sensemaking']
['p9', '00:06:52', 'brush', 'hist-4', '4-3-3-0_', 'Question / Hypothesis']
['p9', '00:06:52', 'brush', 'hist-4', '4-4-4-0_', 'Question / Hypothesis']
['p9', '00:06:52', 'brush', 'hist-4', '4-5-5-0_', 'Question / Hypothesis']
['p9', '00:06:52', 'brush', 'hist-4', '4-4-4-0_', 'Question / Hypothesis']
['p9', '00:06:53', 'brush', 'hist-4', '4-5-5-0_', 'Question / Hypothesis']
['p9', '00:06:53', 'clear', 'undefined', 'undefined', 'Question / Hypothesis']
['p9', '00:07:01', 'brush', 'hist-4', '4-20-20-0_', 'Question / Hypothesis']
['p9', '00:07:01', 'clear', 'undefined', 'undefined', 'Question / Hypothesis']
['p9', '00:07:02', 'brush', 'hist-3', '3-14-14-0_', 'Question / Hypothesis']
['p9', '00:07:02', 'brush', 'hist-3', '3-13-13-0_', 'Question / Hypothesis']
['p9', '00:07:02', 'brush', 'hist-3', '3-12-12-0_', 'Question / Hypothesis']
['p9', '00:07:02', 'brush', 'hist-3', '3-11-11-0_', 'Question / Hypothesis']
['p9', '00:07:02', 'brush', 'hist-3', '3-10-10-0_', 'Question / Hypothesis']
['p9', '00:07:02', 'clear', 'undefined', 'undefined', 'Question / Hypothesis']
['p9', '00:07:08', 'brush', 'hist-3', '3-0-0-0_', 'Sensemaking']
