['p17', '00:19:47', 'pan', 'geo-0-1', '-15', '0', 'Sensemaking']
['p17', '00:19:47', 'pan', 'geo-0-1', '-2', '0', 'Sensemaking']
['p17', '00:19:47', 'pan', 'geo-0-1', '-1', '0', 'Sensemaking']
['p17', '00:19:48', 'pan', 'geo-0-1', '0', '1', 'Sensemaking']
['p17', '00:19:48', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p17', '00:19:48', 'pan', 'geo-0-1', '-3', '0', 'Sensemaking']
['p17', '00:19:48', 'pan', 'geo-0-1', '-6', '0', 'Sensemaking']
['p17', '00:19:48', 'pan', 'geo-0-1', '-10', '1', 'Sensemaking']
['p17', '00:19:48', 'pan', 'geo-0-1', '-13', '1', 'Sensemaking']
['p17', '00:19:48', 'pan', 'geo-0-1', '-11', '0', 'Sensemaking']
['p17', '00:19:48', 'pan', 'geo-0-1', '-7', '-1', 'Sensemaking']
['p17', '00:19:48', 'pan', 'geo-0-1', '-4', '0', 'Sensemaking']
['p17', '00:19:48', 'pan', 'geo-0-1', '-6', '-1', 'Sensemaking']
['p17', '00:19:49', 'pan', 'geo-0-1', '-1', '0', 'Sensemaking']
['p17', '00:19:49', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p17', '00:19:49', 'pan', 'geo-0-1', '2', '0', 'Sensemaking']
['p17', '00:19:49', 'pan', 'geo-0-1', '3', '0', 'Sensemaking']
['p17', '00:19:49', 'pan', 'geo-0-1', '4', '0', 'Sensemaking']
['p17', '00:19:49', 'pan', 'geo-0-1', '5', '0', 'Sensemaking']
['p17', '00:19:49', 'pan', 'geo-0-1', '10', '1', 'Sensemaking']
['p17', '00:19:49', 'pan', 'geo-0-1', '17', '0', 'Sensemaking']
['p17', '00:19:49', 'pan', 'geo-0-1', '21', '1', 'Sensemaking']
['p17', '00:19:49', 'pan', 'geo-0-1', '17', '1', 'Sensemaking']
['p17', '00:19:49', 'pan', 'geo-0-1', '9', '0', 'Sensemaking']
['p17', '00:19:49', 'pan', 'geo-0-1', '4', '0', 'Sensemaking']
['p17', '00:19:49', 'pan', 'geo-0-1', '3', '0', 'Sensemaking']
['p17', '00:19:49', 'pan', 'geo-0-1', '2', '0', 'Sensemaking']
['p17', '00:19:50', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p17', '00:19:50', 'pan', 'geo-0-1', '1', '-1', 'Sensemaking']
['p17', '00:19:50', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p17', '00:19:50', 'pan', 'geo-0-1', '0', '-1', 'Sensemaking']
