Time,State,action,reward,visualization,subtask,raw_actions
00:02:56,(Sensemaking+scatterplot-0-1),generalization,0.0,scatterplot-0-1,2,zoom
00:02:58,(Sensemaking+scatterplot-0-1),generalization,0.0,scatterplot-0-1,2,zoom
00:02:59,(Sensemaking+scatterplot-0-1),generalization,0.0,scatterplot-0-1,2,pan
00:03:02,(Sensemaking+bar-4),generalization,0.0,bar-4,2,range select
00:03:04,(Sensemaking+bar-4),generalization,0.0,bar-4,2,range select
00:03:08,(Sensemaking+bar-4),generalization,0.0,bar-4,2,range select
00:03:10,(Sensemaking+bar-4),generalization,0.0,bar-4,2,range select
00:03:11,(Sensemaking+bar-4),generalization,0.0,bar-4,2,range select
00:03:17,(Sensemaking+bar-4),generalization,0.0,bar-4,2,range select
00:04:59,(Sensemaking+bar-4),generalization,0.0,bar-4,2,range select
00:05:08,(Sensemaking+bar-4),generalization,1.0,bar-4,2,range select
00:05:10,(Sensemaking+bar-4),generalization,1.0,bar-4,2,range select
00:05:12,(Sensemaking+bar-4),observation,0.25,bar-4,2,range select
00:05:14,(Sensemaking+bar-4),observation,0.25,bar-4,2,range select
00:05:16,(Sensemaking+bar-4),observation,0.0,bar-4,2,range select
00:05:18,(Question+bar-4),steer,0.0,bar-4,2,range select
00:05:23,(Sensemaking+bar-4),generalization,1.0,bar-4,3,range select
00:05:24,(Sensemaking+bar-4),generalization,0.5,bar-4,3,range select
00:05:40,(Sensemaking+bar-4),generalization,1.0,bar-4,3,range select
00:05:43,(Sensemaking+bar-4),explanation,0.0,bar-4,3,range select
00:05:46,(Question+bar-4),steer,0.0,bar-4,3,range select
00:05:56,(Question+bar-4),steer,0.0,bar-4,3,range select
00:06:02,(Question+bar-4),steer,0.0,bar-4,3,range select
00:06:06,(Question+bar-4),steer,0.0,bar-4,3,range select
00:06:08,(Question+bar-4),steer,0.0,bar-4,3,range select
00:06:13,(Question+scatterplot-0-1),steer,0.0,scatterplot-0-1,3,pan
00:06:15,(Question+scatterplot-0-1),steer,0.0,scatterplot-0-1,3,zoom
00:06:17,(Sensemaking+scatterplot-0-1),observation,0.0,scatterplot-0-1,4,pan
00:06:18,(Sensemaking+scatterplot-0-1),observation,0.0,scatterplot-0-1,4,pan
00:06:19,(Sensemaking+scatterplot-0-1),observation,0.0,scatterplot-0-1,4,pan
00:06:20,(Sensemaking+scatterplot-0-1),observation,0.0,scatterplot-0-1,4,pan
00:06:21,(Sensemaking+scatterplot-0-1),observation,0.0,scatterplot-0-1,4,pan
00:06:22,(Sensemaking+scatterplot-0-1),observation,0.0,scatterplot-0-1,4,pan
00:06:24,(Sensemaking+scatterplot-0-1),observation,0.0,scatterplot-0-1,4,zoom
00:06:25,(Sensemaking+scatterplot-0-1),observation,0.0,scatterplot-0-1,4,zoom
00:06:27,(Sensemaking+scatterplot-0-1),observation,0.0,scatterplot-0-1,4,zoom
00:06:29,(Sensemaking+scatterplot-0-1),observation,0.0,scatterplot-0-1,4,pan
00:06:30,(Sensemaking+scatterplot-0-1),observation,0.0,scatterplot-0-1,4,pan
00:06:51,(Question+bar-4),steer,0.0,bar-4,4,range select
00:06:52,(Question+bar-4),steer,0.0,bar-4,4,range select
00:06:55,(Question+bar-4),steer,0.0,bar-4,4,range select
00:07:11,(Sensemaking+scatterplot-0-1),observation,0.0,scatterplot-0-1,4,zoom
00:07:12,(Sensemaking+scatterplot-0-1),observation,0.0,scatterplot-0-1,4,pan
00:07:13,(Sensemaking+scatterplot-0-1),observation,0.0,scatterplot-0-1,4,pan
00:07:15,(Sensemaking+scatterplot-0-1),observation,0.0,scatterplot-0-1,4,zoom
00:07:16,(Sensemaking+scatterplot-0-1),observation,0.0,scatterplot-0-1,4,zoom
00:07:17,(Sensemaking+scatterplot-0-1),observation,0.0,scatterplot-0-1,4,zoom
00:07:18,(Sensemaking+scatterplot-0-1),observation,0.25,scatterplot-0-1,4,pan
00:07:19,(Sensemaking+scatterplot-0-1),observation,0.25,scatterplot-0-1,4,pan
00:07:20,(Sensemaking+scatterplot-0-1),observation,0.25,scatterplot-0-1,4,pan
00:07:28,(Sensemaking+scatterplot-0-1),observation,0.25,scatterplot-0-1,4,pan
00:07:29,(Sensemaking+scatterplot-0-1),observation,0.25,scatterplot-0-1,4,pan
00:07:53,(Sensemaking+scatterplot-0-1),observation,0.25,scatterplot-0-1,4,pan
00:07:54,(Sensemaking+scatterplot-0-1),observation,0.25,scatterplot-0-1,4,pan
00:07:55,(Sensemaking+scatterplot-0-1),observation,0.25,scatterplot-0-1,4,pan
00:08:34,(Sensemaking+bar-2),observation,0.5,bar-2,4,range select
00:08:36,(Sensemaking+bar-4),observation,0.5,bar-4,4,range select
00:08:44,(Sensemaking+bar-2),observation,0.0,bar-2,4,range select
00:08:47,(Sensemaking+bar-4),observation,0.0,bar-4,4,range select
00:09:21,(Sensemaking+bar-4),observation,0.5,bar-4,5,range select
00:09:42,(Sensemaking+scatterplot-0-1),observation,0.25,scatterplot-0-1,5,zoom
00:09:44,(Sensemaking+scatterplot-0-1),observation,0.5,scatterplot-0-1,5,pan
00:09:47,(Sensemaking+scatterplot-0-1),observation,0.5,scatterplot-0-1,5,pan
00:09:49,(Sensemaking+scatterplot-0-1),observation,0.5,scatterplot-0-1,5,zoom
00:09:50,(Sensemaking+scatterplot-0-1),observation,0.5,scatterplot-0-1,5,pan
00:09:51,(Sensemaking+scatterplot-0-1),observation,0.5,scatterplot-0-1,5,pan
00:10:45,(Sensemaking+bar-4),observation,0.0,bar-4,5,range select
00:10:50,(Sensemaking+scatterplot-0-1),observation,0.25,scatterplot-0-1,5,zoom
00:10:51,(Sensemaking+scatterplot-0-1),observation,0.25,scatterplot-0-1,5,zoom
00:10:54,(Question+scatterplot-0-1),steer,0.0,scatterplot-0-1,6,pan
00:10:54,(Sensemaking+scatterplot-0-1),generalization,0.0,scatterplot-0-1,6,pan
