['p8', '00:38:00', 'range select', 'geo-0-1', '0-1038-1090-4_1-686-722-4_', 'Sensemaking']
['p8', '00:38:00', 'range select', 'geo-0-1', '0-1038-1091-4_1-686-721-4_', 'Sensemaking']
['p8', '00:38:00', 'range select', 'geo-0-1', '0-1038-1092-4_1-686-721-4_', 'Sensemaking']
['p8', '00:38:00', 'range select', 'geo-0-1', '0-1038-1093-4_1-686-721-4_', 'Sensemaking']
['p8', '00:38:00', 'range select', 'geo-0-1', '0-1038-1094-4_1-686-721-4_', 'Sensemaking']
['p8', '00:38:00', 'range select', 'geo-0-1', '0-1038-1093-4_1-686-720-4_', 'Sensemaking']
['p8', '00:38:00', 'range select', 'geo-0-1', '0-1038-1092-4_1-686-720-4_', 'Sensemaking']
['p8', '00:38:00', 'range select', 'geo-0-1', '0-1038-1091-4_1-686-720-4_', 'Sensemaking']
['p8', '00:38:00', 'range select', 'geo-0-1', '0-1038-1090-4_1-686-720-4_', 'Sensemaking']
['p8', '00:38:01', 'range select', 'geo-0-1', '0-1038-1089-4_1-686-720-4_', 'Sensemaking']
['p8', '00:38:01', 'range select', 'geo-0-1', '0-1038-1088-4_1-686-720-4_', 'Sensemaking']
['p8', '00:38:01', 'range select', 'geo-0-1', '0-1038-1086-4_1-686-720-4_', 'Sensemaking']
['p8', '00:38:01', 'range select', 'geo-0-1', '0-1038-1085-4_1-686-720-4_', 'Sensemaking']
['p8', '00:38:01', 'range select', 'geo-0-1', '0-1038-1084-4_1-686-720-4_', 'Sensemaking']
['p8', '00:38:01', 'range select', 'geo-0-1', '0-1038-1083-4_1-686-719-4_', 'Sensemaking']
['p8', '00:38:01', 'range select', 'geo-0-1', '0-1038-1082-4_1-686-719-4_', 'Sensemaking']
['p8', '00:38:02', 'range select', 'geo-0-1', '0-1038-1082-4_1-686-718-4_', 'Sensemaking']
['p8', '00:38:02', 'range select', 'geo-0-1', '0-1038-1081-4_1-686-717-4_', 'Sensemaking']
['p8', '00:38:02', 'range select', 'geo-0-1', '0-1038-1080-4_1-686-716-4_', 'Sensemaking']
['p8', '00:38:02', 'range select', 'geo-0-1', '0-1038-1075-4_1-686-712-4_', 'Sensemaking']
['p8', '00:38:03', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p8', '00:38:03', 'pan', 'geo-0-1', '-1', '0', 'Sensemaking']
['p8', '00:38:03', 'pan', 'geo-0-1', '-2', '0', 'Sensemaking']
['p8', '00:38:03', 'pan', 'geo-0-1', '-4', '0', 'Sensemaking']
['p8', '00:38:03', 'pan', 'geo-0-1', '-6', '0', 'Sensemaking']
['p8', '00:38:03', 'pan', 'geo-0-1', '-10', '0', 'Sensemaking']
['p8', '00:38:03', 'pan', 'geo-0-1', '-16', '0', 'Sensemaking']
['p8', '00:38:03', 'pan', 'geo-0-1', '-17', '-1', 'Sensemaking']
['p8', '00:38:03', 'pan', 'geo-0-1', '-51', '0', 'Sensemaking']
['p8', '00:38:03', 'pan', 'geo-0-1', '-23', '0', 'Sensemaking']
['p8', '00:38:04', 'pan', 'geo-0-1', '-48', '0', 'Sensemaking']
['p8', '00:38:04', 'pan', 'geo-0-1', '-40', '-1', 'Sensemaking']
['p8', '00:38:04', 'pan', 'geo-0-1', '-17', '0', 'Sensemaking']
['p8', '00:38:04', 'pan', 'geo-0-1', '-12', '0', 'Sensemaking']
['p8', '00:38:04', 'pan', 'geo-0-1', '-8', '0', 'Sensemaking']
['p8', '00:38:04', 'pan', 'geo-0-1', '-7', '0', 'Sensemaking']
['p8', '00:38:04', 'pan', 'geo-0-1', '-4', '0', 'Sensemaking']
['p8', '00:38:04', 'pan', 'geo-0-1', '-4', '-1', 'Sensemaking']
['p8', '00:38:04', 'pan', 'geo-0-1', '-3', '0', 'Sensemaking']
['p8', '00:38:04', 'pan', 'geo-0-1', '-2', '0', 'Sensemaking']
['p8', '00:38:04', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p8', '00:38:04', 'pan', 'geo-0-1', '-1', '1', 'Sensemaking']
['p8', '00:38:04', 'pan', 'geo-0-1', '-8', '5', 'Sensemaking']
['p8', '00:38:04', 'pan', 'geo-0-1', '-14', '6', 'Sensemaking']
['p8', '00:38:04', 'pan', 'geo-0-1', '-16', '8', 'Sensemaking']
['p8', '00:38:04', 'tile cached', 'undefined', '0-512-767-5x1-1280-1535-5x4-0-23-0', 'Sensemaking']
['p8', '00:38:04', 'pan', 'geo-0-1', '-18', '8', 'Sensemaking']
['p8', '00:38:04', 'pan', 'geo-0-1', '-19', '12', 'Sensemaking']
['p8', '00:38:04', 'pan', 'geo-0-1', '-16', '11', 'Sensemaking']
['p8', '00:38:04', 'pan', 'geo-0-1', '-11', '10', 'Sensemaking']
['p8', '00:38:04', 'pan', 'geo-0-1', '-9', '9', 'Sensemaking']
['p8', '00:38:04', 'pan', 'geo-0-1', '-6', '8', 'Sensemaking']
['p8', '00:38:04', 'pan', 'geo-0-1', '-3', '4', 'Sensemaking']
['p8', '00:38:04', 'pan', 'geo-0-1', '-3', '5', 'Sensemaking']
['p8', '00:38:04', 'pan', 'geo-0-1', '-4', '5', 'Sensemaking']
['p8', '00:38:04', 'pan', 'geo-0-1', '-3', '5', 'Sensemaking']
['p8', '00:38:04', 'pan', 'geo-0-1', '-3', '3', 'Sensemaking']
['p8', '00:38:04', 'pan', 'geo-0-1', '-2', '3', 'Sensemaking']
['p8', '00:38:05', 'pan', 'geo-0-1', '-2', '1', 'Sensemaking']
['p8', '00:38:05', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p8', '00:38:05', 'pan', 'geo-0-1', '-1', '0', 'Sensemaking']
['p8', '00:38:05', 'pan', 'geo-0-1', '0', '-3', 'Sensemaking']
['p8', '00:38:05', 'pan', 'geo-0-1', '-2', '-8', 'Sensemaking']
['p8', '00:38:05', 'pan', 'geo-0-1', '-2', '-17', 'Sensemaking']
['p8', '00:38:05', 'pan', 'geo-0-1', '-2', '-16', 'Sensemaking']
['p8', '00:38:05', 'pan', 'geo-0-1', '3', '-23', 'Sensemaking']
['p8', '00:38:05', 'tile cached', 'undefined', '0-256-511-5x1-1280-1535-5x4-0-23-0', 'Sensemaking']
['p8', '00:38:05', 'tile cached', 'undefined', '0-256-511-5x1-1792-2047-5x4-0-23-0', 'Sensemaking']
['p8', '00:38:05', 'tile cached', 'undefined', '0-0-255-4x1-768-1023-4x2-0-11-0', 'Sensemaking']
['p8', '00:38:05', 'tile cached', 'undefined', '0-256-511-5x1-1536-1791-5x4-0-23-0', 'Sensemaking']
['p8', '00:38:05', 'tile cached', 'undefined', '0-0-255-4x1-768-1023-4x3-0-30-0', 'Sensemaking']
['p8', '00:38:05', 'tile cached', 'undefined', '0-0-255-4x1-768-1023-4x5-0-29-1', 'Sensemaking']
['p8', '00:38:05', 'tile cached', 'undefined', '0-0-255-4x1-768-1023-4x4-0-23-0', 'Sensemaking']
['p8', '00:38:05', 'pan', 'geo-0-1', '0', '-3', 'Sensemaking']
['p8', '00:38:05', 'pan', 'geo-0-1', '0', '-2', 'Sensemaking']
