['p8', '00:39:34', 'repaintFg', 'color slider', '181535-227312', 'Exploration']
['p8', '00:39:34', 'repaintBg', 'color slider', '183423-227312', 'Exploration']
['p8', '00:39:34', 'repaintFg', 'color slider', '183423-227312', 'Exploration']
['p8', '00:39:34', 'repaintBg', 'color slider', '183800-227312', 'Exploration']
['p8', '00:39:34', 'repaintFg', 'color slider', '183800-227312', 'Exploration']
['p8', '00:39:35', 'repaintBg', 'color slider', '183151-227312', 'Exploration']
['p8', '00:39:35', 'repaintFg', 'color slider', '183151-227312', 'Exploration']
['p8', '00:39:35', 'repaintBg', 'color slider', '182396-227312', 'Exploration']
['p8', '00:39:35', 'repaintFg', 'color slider', '182396-227312', 'Exploration']
['p8', '00:39:35', 'repaintBg', 'color slider', '177865-227312', 'Exploration']
['p8', '00:39:35', 'repaintFg', 'color slider', '177865-227312', 'Exploration']
['p8', '00:39:35', 'repaintBg', 'color slider', '166537-227312', 'Exploration']
['p8', '00:39:35', 'repaintFg', 'color slider', '166537-227312', 'Exploration']
['p8', '00:39:35', 'repaintBg', 'color slider', '153321-227312', 'Exploration']
['p8', '00:39:35', 'repaintFg', 'color slider', '153321-227312', 'Exploration']
['p8', '00:39:35', 'repaintBg', 'color slider', '134819-227312', 'Exploration']
['p8', '00:39:35', 'repaintFg', 'color slider', '134819-227312', 'Exploration']
['p8', '00:39:35', 'repaintBg', 'color slider', '112919-227312', 'Exploration']
['p8', '00:39:35', 'repaintFg', 'color slider', '112919-227312', 'Exploration']
['p8', '00:39:35', 'repaintBg', 'color slider', '88375-227312', 'Exploration']
['p8', '00:39:35', 'repaintFg', 'color slider', '88375-227312', 'Exploration']
['p8', '00:39:35', 'repaintBg', 'color slider', '74405-227312', 'Exploration']
['p8', '00:39:35', 'repaintFg', 'color slider', '74405-227312', 'Exploration']
['p8', '00:39:35', 'repaintBg', 'color slider', '17388-227312', 'Exploration']
['p8', '00:39:35', 'repaintFg', 'color slider', '17388-227312', 'Exploration']
['p8', '00:39:35', 'repaintBg', 'color slider', '1-227312', 'Exploration']
['p8', '00:39:35', 'repaintFg', 'color slider', '1-227312', 'Exploration']
['p8', '00:39:37', 'repaintBg', 'color slider', '910-227312', 'Exploration']
['p8', '00:39:37', 'repaintFg', 'color slider', '910-227312', 'Exploration']
['p8', '00:39:37', 'repaintBg', 'color slider', '2042-227312', 'Exploration']
['p8', '00:39:37', 'repaintFg', 'color slider', '2042-227312', 'Exploration']
['p8', '00:39:37', 'repaintBg', 'color slider', '3175-227312', 'Exploration']
['p8', '00:39:37', 'repaintFg', 'color slider', '3175-227312', 'Exploration']
['p8', '00:39:37', 'repaintBg', 'color slider', '6196-227312', 'Exploration']
['p8', '00:39:37', 'repaintFg', 'color slider', '6196-227312', 'Exploration']
['p8', '00:39:37', 'repaintBg', 'color slider', '7329-227312', 'Exploration']
['p8', '00:39:37', 'repaintFg', 'color slider', '7329-227312', 'Exploration']
['p8', '00:39:37', 'repaintBg', 'color slider', '12993-227312', 'Exploration']
['p8', '00:39:37', 'repaintFg', 'color slider', '12993-227312', 'Exploration']
['p8', '00:39:37', 'repaintBg', 'color slider', '23943-227312', 'Exploration']
['p8', '00:39:37', 'repaintFg', 'color slider', '23943-227312', 'Exploration']
['p8', '00:39:37', 'repaintBg', 'color slider', '36403-227312', 'Exploration']
['p8', '00:39:37', 'repaintFg', 'color slider', '36403-227312', 'Exploration']
['p8', '00:39:37', 'repaintBg', 'color slider', '51129-227312', 'Exploration']
['p8', '00:39:37', 'repaintFg', 'color slider', '51129-227312', 'Exploration']
['p8', '00:39:37', 'repaintBg', 'color slider', '63968-227312', 'Exploration']
['p8', '00:39:37', 'repaintFg', 'color slider', '63968-227312', 'Exploration']
['p8', '00:39:37', 'repaintBg', 'color slider', '69254-227312', 'Exploration']
['p8', '00:39:37', 'repaintFg', 'color slider', '69254-227312', 'Exploration']
['p8', '00:39:37', 'repaintBg', 'color slider', '77939-227312', 'Exploration']
['p8', '00:39:37', 'repaintFg', 'color slider', '77939-227312', 'Exploration']
['p8', '00:39:37', 'repaintBg', 'color slider', '85113-227312', 'Exploration']
['p8', '00:39:37', 'repaintFg', 'color slider', '85113-227312', 'Exploration']
['p8', '00:39:37', 'repaintBg', 'color slider', '93042-227312', 'Exploration']
['p8', '00:39:37', 'repaintFg', 'color slider', '93042-227312', 'Exploration']
['p8', '00:39:37', 'repaintBg', 'color slider', '102860-227312', 'Exploration']
['p8', '00:39:37', 'repaintFg', 'color slider', '102860-227312', 'Exploration']
['p8', '00:39:37', 'repaintBg', 'color slider', '107768-227312', 'Exploration']
['p8', '00:39:37', 'repaintFg', 'color slider', '107768-227312', 'Exploration']
['p8', '00:39:37', 'repaintBg', 'color slider', '118719-227312', 'Exploration']
['p8', '00:39:37', 'repaintFg', 'color slider', '118719-227312', 'Exploration']
['p8', '00:39:37', 'repaintBg', 'color slider', '124760-227312', 'Exploration']
['p8', '00:39:37', 'repaintFg', 'color slider', '124760-227312', 'Exploration']
['p8', '00:39:37', 'repaintBg', 'color slider', '126648-227312', 'Exploration']
['p8', '00:39:37', 'repaintFg', 'color slider', '126648-227312', 'Exploration']
['p8', '00:39:37', 'repaintBg', 'color slider', '127403-227312', 'Exploration']
['p8', '00:39:37', 'repaintFg', 'color slider', '127403-227312', 'Exploration']
['p8', '00:39:37', 'repaintBg', 'color slider', '128158-227312', 'Exploration']
['p8', '00:39:37', 'repaintFg', 'color slider', '128158-227312', 'Exploration']
['p8', '00:39:37', 'repaintBg', 'color slider', '128536-227312', 'Exploration']
['p8', '00:39:37', 'repaintFg', 'color slider', '128536-227312', 'Exploration']
['p8', '00:39:38', 'repaintBg', 'color slider', '128158-227312', 'Sensemaking']
['p8', '00:39:38', 'repaintFg', 'color slider', '128158-227312', 'Sensemaking']
