['p5', '00:03:39', 'repaintFg', 'log scale', 'false', 'Sensemaking']
['p5', '00:04:58', 'pan', 'geo-0-1', '6', '1', 'Sensemaking']
['p5', '00:04:58', 'pan', 'geo-0-1', '7', '3', 'Sensemaking']
['p5', '00:04:58', 'pan', 'geo-0-1', '7', '4', 'Sensemaking']
['p5', '00:04:58', 'pan', 'geo-0-1', '5', '3', 'Sensemaking']
['p5', '00:04:58', 'pan', 'geo-0-1', '7', '6', 'Sensemaking']
['p5', '00:04:58', 'pan', 'geo-0-1', '2', '3', 'Sensemaking']
['p5', '00:04:58', 'pan', 'geo-0-1', '0', '2', 'Sensemaking']
['p5', '00:04:58', 'pan', 'geo-0-1', '4', '6', 'Sensemaking']
['p5', '00:04:58', 'pan', 'geo-0-1', '2', '6', 'Sensemaking']
['p5', '00:04:58', 'pan', 'geo-0-1', '2', '5', 'Sensemaking']
['p5', '00:04:58', 'pan', 'geo-0-1', '2', '7', 'Sensemaking']
['p5', '00:04:58', 'pan', 'geo-0-1', '1', '5', 'Sensemaking']
['p5', '00:04:58', 'pan', 'geo-0-1', '2', '6', 'Sensemaking']
['p5', '00:04:58', 'pan', 'geo-0-1', '0', '1', 'Sensemaking']
['p5', '00:04:59', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p5', '00:04:59', 'pan', 'geo-0-1', '5', '-4', 'Sensemaking']
['p5', '00:04:59', 'pan', 'geo-0-1', '6', '-4', 'Sensemaking']
['p5', '00:04:59', 'pan', 'geo-0-1', '5', '-2', 'Sensemaking']
['p5', '00:04:59', 'pan', 'geo-0-1', '4', '-3', 'Sensemaking']
['p5', '00:04:59', 'pan', 'geo-0-1', '2', '-1', 'Sensemaking']
['p5', '00:04:59', 'pan', 'geo-0-1', '5', '-3', 'Sensemaking']
['p5', '00:05:00', 'pan', 'geo-0-1', '2', '0', 'Sensemaking']
['p5', '00:05:00', 'pan', 'geo-0-1', '3', '-2', 'Sensemaking']
['p5', '00:05:00', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p5', '00:05:00', 'pan', 'geo-0-1', '4', '0', 'Sensemaking']
['p5', '00:05:00', 'pan', 'geo-0-1', '4', '-1', 'Sensemaking']
['p5', '00:05:00', 'pan', 'geo-0-1', '4', '-2', 'Sensemaking']
['p5', '00:05:00', 'pan', 'geo-0-1', '3', '-1', 'Sensemaking']
['p5', '00:05:00', 'pan', 'geo-0-1', '2', '0', 'Sensemaking']
['p5', '00:05:00', 'pan', 'geo-0-1', '3', '-1', 'Sensemaking']
['p5', '00:05:00', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p5', '00:05:00', 'pan', 'geo-0-1', '6', '-2', 'Sensemaking']
['p5', '00:05:00', 'pan', 'geo-0-1', '1', '-1', 'Sensemaking']
['p5', '00:05:00', 'pan', 'geo-0-1', '2', '0', 'Sensemaking']
['p5', '00:05:00', 'pan', 'geo-0-1', '1', '-1', 'Sensemaking']
['p5', '00:05:00', 'pan', 'geo-0-1', '2', '-1', 'Sensemaking']
['p5', '00:05:00', 'pan', 'geo-0-1', '3', '-1', 'Sensemaking']
['p5', '00:05:00', 'pan', 'geo-0-1', '2', '-1', 'Sensemaking']
['p5', '00:05:00', 'pan', 'geo-0-1', '3', '-1', 'Sensemaking']
['p5', '00:05:00', 'pan', 'geo-0-1', '1', '-1', 'Sensemaking']
['p5', '00:05:00', 'pan', 'geo-0-1', '2', '-1', 'Sensemaking']
['p5', '00:05:00', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p5', '00:05:00', 'pan', 'geo-0-1', '11', '-4', 'Sensemaking']
['p5', '00:05:01', 'pan', 'geo-0-1', '5', '-3', 'Sensemaking']
['p5', '00:05:01', 'pan', 'geo-0-1', '4', '-4', 'Sensemaking']
['p5', '00:05:01', 'pan', 'geo-0-1', '4', '-2', 'Sensemaking']
['p5', '00:05:01', 'pan', 'geo-0-1', '3', '-3', 'Sensemaking']
['p5', '00:05:01', 'pan', 'geo-0-1', '4', '-4', 'Sensemaking']
['p5', '00:05:01', 'pan', 'geo-0-1', '3', '-3', 'Sensemaking']
['p5', '00:05:01', 'pan', 'geo-0-1', '2', '-3', 'Sensemaking']
['p5', '00:05:01', 'pan', 'geo-0-1', '2', '-1', 'Sensemaking']
['p5', '00:05:01', 'pan', 'geo-0-1', '1', '-1', 'Sensemaking']
['p5', '00:05:01', 'pan', 'geo-0-1', '0', '-1', 'Sensemaking']
['p5', '00:05:01', 'pan', 'geo-0-1', '1', '-1', 'Sensemaking']
['p5', '00:05:01', 'pan', 'geo-0-1', '0', '-1', 'Sensemaking']
['p5', '00:05:02', 'clear', 'undefined', 'undefined', 'Sensemaking']
['p5', '00:05:02', 'pan', 'geo-0-1', '2', '0', 'Sensemaking']
['p5', '00:05:02', 'pan', 'geo-0-1', '5', '-3', 'Sensemaking']
['p5', '00:05:02', 'pan', 'geo-0-1', '1', '-3', 'Sensemaking']
['p5', '00:05:02', 'pan', 'geo-0-1', '0', '-2', 'Sensemaking']
['p5', '00:05:02', 'pan', 'geo-0-1', '0', '-6', 'Sensemaking']
