Time,State,action,reward,visualization,subtask,raw_actions
00:28:07,(Question+bar-2),steer,0.0,bar-2,2,brush
00:28:08,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:28:08,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:28:08,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:28:08,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:28:08,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:28:08,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:28:08,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:28:08,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:28:09,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:28:09,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:28:09,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:28:09,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:28:09,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:28:09,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:28:09,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:28:09,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:28:09,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:28:09,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:28:09,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:28:11,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:28:11,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:28:11,(Sensemaking+undefined),observation,0.25,undefined,2,clear
00:28:11,(Sensemaking+bar-4),observation,0.25,bar-4,2,brush
00:28:11,(Sensemaking+bar-4),observation,0.25,bar-4,2,brush
00:28:11,(Sensemaking+bar-4),observation,0.25,bar-4,2,brush
00:28:12,(Sensemaking+undefined),observation,0.25,undefined,2,clear
00:28:13,(Sensemaking+log scale),observation,0.25,log scale,2,repaintBg
00:28:13,(Sensemaking+log scale),observation,0.25,log scale,2,repaintFg
00:28:13,(Sensemaking+undefined),observation,0.25,undefined,2,clear
00:28:13,(Sensemaking+bar-4),observation,0.25,bar-4,2,brush
00:28:13,(Sensemaking+bar-4),observation,0.25,bar-4,2,brush
00:28:14,(Sensemaking+undefined),observation,0.25,undefined,2,clear
00:28:14,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:28:14,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:28:14,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:28:14,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:28:14,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:28:14,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:28:14,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:28:15,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:28:16,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:28:16,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:28:17,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:28:17,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:28:17,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:28:17,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:28:17,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:28:18,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:28:18,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:28:18,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
