['p12', '00:43:51', 'repaintFg', 'log scale', 'false', 'Sensemaking']
['p12', '00:44:17', 'range select', 'bar-5', '5-23-23-1_', 'Sensemaking']
['p12', '00:44:19', 'range select', 'bar-5', '5-24-24-1_', 'Sensemaking']
['p12', '00:44:21', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p12', '00:44:21', 'pan', 'geo-0-1', '-1', '0', 'Sensemaking']
['p12', '00:44:21', 'pan', 'geo-0-1', '-2', '0', 'Sensemaking']
['p12', '00:44:21', 'pan', 'geo-0-1', '-3', '0', 'Sensemaking']
['p12', '00:44:21', 'pan', 'geo-0-1', '-8', '2', 'Sensemaking']
['p12', '00:44:21', 'pan', 'geo-0-1', '-27', '7', 'Sensemaking']
['p12', '00:44:21', 'pan', 'geo-0-1', '-13', '4', 'Sensemaking']
['p12', '00:44:21', 'pan', 'geo-0-1', '-6', '3', 'Sensemaking']
['p12', '00:44:21', 'pan', 'geo-0-1', '-2', '1', 'Sensemaking']
['p12', '00:44:21', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p12', '00:44:22', 'pan', 'geo-0-1', '-2', '0', 'Sensemaking']
['p12', '00:44:22', 'pan', 'geo-0-1', '-4', '0', 'Sensemaking']
['p12', '00:44:22', 'pan', 'geo-0-1', '-11', '0', 'Sensemaking']
['p12', '00:44:22', 'pan', 'geo-0-1', '-18', '1', 'Sensemaking']
['p12', '00:44:22', 'pan', 'geo-0-1', '-47', '0', 'Sensemaking']
['p12', '00:44:22', 'pan', 'geo-0-1', '-24', '0', 'Sensemaking']
['p12', '00:44:22', 'pan', 'geo-0-1', '-5', '0', 'Sensemaking']
['p12', '00:44:22', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p12', '00:44:27', 'clear', 'undefined', 'undefined', 'Sensemaking']
['p12', '00:44:29', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p12', '00:44:29', 'pan', 'geo-0-1', '-1', '0', 'Sensemaking']
['p12', '00:44:29', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p12', '00:44:29', 'pan', 'geo-0-1', '-1', '0', 'Sensemaking']
['p12', '00:44:29', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p12', '00:44:29', 'pan', 'geo-0-1', '-2', '0', 'Sensemaking']
['p12', '00:44:29', 'pan', 'geo-0-1', '-8', '-2', 'Sensemaking']
['p12', '00:44:29', 'pan', 'geo-0-1', '-4', '0', 'Sensemaking']
['p12', '00:44:29', 'pan', 'geo-0-1', '-3', '0', 'Sensemaking']
['p12', '00:44:29', 'pan', 'geo-0-1', '-4', '0', 'Sensemaking']
['p12', '00:44:30', 'pan', 'geo-0-1', '-11', '0', 'Sensemaking']
['p12', '00:44:30', 'pan', 'geo-0-1', '-5', '0', 'Sensemaking']
['p12', '00:44:30', 'pan', 'geo-0-1', '-10', '0', 'Sensemaking']
['p12', '00:44:30', 'pan', 'geo-0-1', '-3', '0', 'Sensemaking']
['p12', '00:44:30', 'pan', 'geo-0-1', '-2', '0', 'Sensemaking']
['p12', '00:44:30', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p12', '00:44:30', 'pan', 'geo-0-1', '-1', '-1', 'Sensemaking']
['p12', '00:44:30', 'pan', 'geo-0-1', '0', '-1', 'Sensemaking']
['p12', '00:44:30', 'pan', 'geo-0-1', '-1', '0', 'Sensemaking']
['p12', '00:44:30', 'pan', 'geo-0-1', '-1', '-1', 'Sensemaking']
['p12', '00:44:30', 'pan', 'geo-0-1', '0', '-1', 'Sensemaking']
['p12', '00:44:30', 'pan', 'geo-0-1', '-1', '0', 'Sensemaking']
['p12', '00:44:30', 'pan', 'geo-0-1', '-1', '-1', 'Sensemaking']
['p12', '00:44:30', 'pan', 'geo-0-1', '-2', '-1', 'Sensemaking']
['p12', '00:44:30', 'pan', 'geo-0-1', '-2', '0', 'Sensemaking']
['p12', '00:44:30', 'pan', 'geo-0-1', '-1', '0', 'Sensemaking']
['p12', '00:44:30', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p12', '00:44:30', 'pan', 'geo-0-1', '-1', '0', 'Sensemaking']
['p12', '00:44:30', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p12', '00:44:30', 'pan', 'geo-0-1', '0', '-1', 'Sensemaking']
['p12', '00:44:30', 'pan', 'geo-0-1', '-1', '0', 'Sensemaking']
['p12', '00:44:30', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p12', '00:44:30', 'pan', 'geo-0-1', '-1', '0', 'Sensemaking']
['p12', '00:44:31', 'pan', 'geo-0-1', '-1', '1', 'Sensemaking']
['p12', '00:44:31', 'pan', 'geo-0-1', '-1', '0', 'Sensemaking']
['p12', '00:44:31', 'pan', 'geo-0-1', '-1', '1', 'Sensemaking']
['p12', '00:44:31', 'pan', 'geo-0-1', '-1', '2', 'Sensemaking']
['p12', '00:44:31', 'pan', 'geo-0-1', '-1', '1', 'Sensemaking']
['p12', '00:44:31', 'pan', 'geo-0-1', '511', '2', 'Sensemaking']
['p12', '00:44:31', 'pan', 'geo-0-1', '-1', '1', 'Sensemaking']
['p12', '00:44:31', 'pan', 'geo-0-1', '0', '2', 'Sensemaking']
['p12', '00:44:31', 'pan', 'geo-0-1', '-1', '1', 'Sensemaking']
['p12', '00:44:31', 'pan', 'geo-0-1', '0', '4', 'Sensemaking']
['p12', '00:44:31', 'pan', 'geo-0-1', '-1', '2', 'Sensemaking']
['p12', '00:44:31', 'pan', 'geo-0-1', '0', '4', 'Sensemaking']
['p12', '00:44:31', 'pan', 'geo-0-1', '-1', '2', 'Sensemaking']
['p12', '00:44:31', 'pan', 'geo-0-1', '0', '2', 'Sensemaking']
['p12', '00:44:31', 'pan', 'geo-0-1', '0', '1', 'Sensemaking']
['p12', '00:44:31', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p12', '00:44:31', 'pan', 'geo-0-1', '0', '1', 'Sensemaking']
['p12', '00:44:31', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p12', '00:44:31', 'pan', 'geo-0-1', '0', '1', 'Sensemaking']
['p12', '00:44:31', 'pan', 'geo-0-1', '-1', '0', 'Sensemaking']
['p12', '00:44:31', 'pan', 'geo-0-1', '0', '1', 'Sensemaking']
['p12', '00:44:31', 'pan', 'geo-0-1', '-1', '0', 'Sensemaking']
['p12', '00:44:32', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p12', '00:44:32', 'pan', 'geo-0-1', '-2', '1', 'Sensemaking']
['p12', '00:44:32', 'pan', 'geo-0-1', '-1', '0', 'Sensemaking']
['p12', '00:44:32', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p12', '00:44:32', 'pan', 'geo-0-1', '-1', '1', 'Sensemaking']
['p12', '00:44:32', 'pan', 'geo-0-1', '-2', '0', 'Sensemaking']
['p12', '00:44:32', 'pan', 'geo-0-1', '0', '1', 'Sensemaking']
['p12', '00:44:32', 'pan', 'geo-0-1', '-1', '0', 'Sensemaking']
['p12', '00:44:32', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p12', '00:44:32', 'pan', 'geo-0-1', '-1', '0', 'Sensemaking']
['p12', '00:44:32', 'pan', 'geo-0-1', '0', '1', 'Sensemaking']
['p12', '00:44:32', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p12', '00:44:32', 'pan', 'geo-0-1', '-1', '0', 'Sensemaking']
['p12', '00:44:32', 'pan', 'geo-0-1', '0', '-1', 'Sensemaking']
['p12', '00:44:32', 'pan', 'geo-0-1', '-1', '0', 'Sensemaking']
['p12', '00:44:32', 'pan', 'geo-0-1', '-1', '-1', 'Sensemaking']
['p12', '00:44:32', 'pan', 'geo-0-1', '-2', '-2', 'Sensemaking']
['p12', '00:44:32', 'pan', 'geo-0-1', '-1', '-1', 'Sensemaking']
['p12', '00:44:32', 'pan', 'geo-0-1', '-4', '-2', 'Sensemaking']
['p12', '00:44:32', 'pan', 'geo-0-1', '-1', '-1', 'Sensemaking']
['p12', '00:44:32', 'pan', 'geo-0-1', '-2', '-1', 'Sensemaking']
['p12', '00:44:32', 'pan', 'geo-0-1', '-1', '-1', 'Sensemaking']
['p12', '00:44:32', 'pan', 'geo-0-1', '-1', '0', 'Sensemaking']
['p12', '00:44:32', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p12', '00:44:33', 'pan', 'geo-0-1', '-1', '-1', 'Sensemaking']
['p12', '00:44:33', 'pan', 'geo-0-1', '-3', '-1', 'Sensemaking']
['p12', '00:44:33', 'pan', 'geo-0-1', '-4', '-2', 'Sensemaking']
['p12', '00:44:33', 'pan', 'geo-0-1', '-7', '-4', 'Sensemaking']
['p12', '00:44:33', 'pan', 'geo-0-1', '-21', '-11', 'Sensemaking']
['p12', '00:44:33', 'pan', 'geo-0-1', '-11', '-6', 'Sensemaking']
['p12', '00:44:33', 'pan', 'geo-0-1', '-10', '-3', 'Sensemaking']
['p12', '00:44:33', 'pan', 'geo-0-1', '-17', '-7', 'Sensemaking']
['p12', '00:44:33', 'pan', 'geo-0-1', '-8', '-2', 'Sensemaking']
['p12', '00:44:33', 'pan', 'geo-0-1', '-2', '0', 'Sensemaking']
['p12', '00:44:33', 'pan', 'geo-0-1', '-1', '0', 'Sensemaking']
['p12', '00:44:33', 'pan', 'geo-0-1', '-3', '0', 'Sensemaking']
['p12', '00:44:33', 'pan', 'geo-0-1', '-2', '0', 'Sensemaking']
['p12', '00:44:33', 'pan', 'geo-0-1', '-3', '0', 'Sensemaking']
['p12', '00:44:33', 'pan', 'geo-0-1', '-4', '0', 'Sensemaking']
['p12', '00:44:33', 'pan', 'geo-0-1', '-3', '0', 'Sensemaking']
['p12', '00:44:33', 'pan', 'geo-0-1', '-2', '0', 'Sensemaking']
['p12', '00:44:33', 'pan', 'geo-0-1', '-1', '0', 'Sensemaking']
['p12', '00:44:33', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p12', '00:44:33', 'pan', 'geo-0-1', '-1', '0', 'Sensemaking']
['p12', '00:44:33', 'pan', 'geo-0-1', '-3', '1', 'Sensemaking']
['p12', '00:44:33', 'pan', 'geo-0-1', '-3', '0', 'Sensemaking']
['p12', '00:44:34', 'pan', 'geo-0-1', '-2', '0', 'Sensemaking']
['p12', '00:44:34', 'pan', 'geo-0-1', '-3', '1', 'Sensemaking']
['p12', '00:44:34', 'pan', 'geo-0-1', '-3', '0', 'Sensemaking']
['p12', '00:44:34', 'pan', 'geo-0-1', '-3', '2', 'Sensemaking']
['p12', '00:44:34', 'pan', 'geo-0-1', '-3', '1', 'Sensemaking']
['p12', '00:44:34', 'pan', 'geo-0-1', '-2', '1', 'Sensemaking']
['p12', '00:44:34', 'pan', 'geo-0-1', '-2', '3', 'Sensemaking']
['p12', '00:44:34', 'pan', 'geo-0-1', '-2', '0', 'Sensemaking']
['p12', '00:44:34', 'pan', 'geo-0-1', '-3', '3', 'Sensemaking']
['p12', '00:44:34', 'pan', 'geo-0-1', '-1', '1', 'Sensemaking']
['p12', '00:44:34', 'pan', 'geo-0-1', '0', '1', 'Sensemaking']
['p12', '00:44:34', 'pan', 'geo-0-1', '-1', '1', 'Sensemaking']
['p12', '00:44:34', 'pan', 'geo-0-1', '0', '1', 'Sensemaking']
['p12', '00:44:34', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p12', '00:44:35', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p12', '00:44:35', 'pan', 'geo-0-1', '3', '0', 'Sensemaking']
['p12', '00:44:35', 'pan', 'geo-0-1', '5', '0', 'Sensemaking']
['p12', '00:44:35', 'pan', 'geo-0-1', '18', '2', 'Sensemaking']
['p12', '00:44:35', 'pan', 'geo-0-1', '37', '0', 'Sensemaking']
['p12', '00:44:35', 'pan', 'geo-0-1', '51', '0', 'Sensemaking']
['p12', '00:44:35', 'pan', 'geo-0-1', '37', '0', 'Sensemaking']
['p12', '00:44:35', 'pan', 'geo-0-1', '15', '0', 'Sensemaking']
['p12', '00:44:35', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p12', '00:44:36', 'pan', 'geo-0-1', '1', '-1', 'Sensemaking']
['p12', '00:44:36', 'pan', 'geo-0-1', '0', '-1', 'Sensemaking']
['p12', '00:44:36', 'pan', 'geo-0-1', '1', '-2', 'Sensemaking']
['p12', '00:44:36', 'pan', 'geo-0-1', '1', '-3', 'Sensemaking']
['p12', '00:44:36', 'pan', 'geo-0-1', '2', '-3', 'Sensemaking']
['p12', '00:44:36', 'pan', 'geo-0-1', '6', '-9', 'Sensemaking']
['p12', '00:44:36', 'pan', 'geo-0-1', '5', '-7', 'Sensemaking']
['p12', '00:44:36', 'pan', 'geo-0-1', '1', '-3', 'Sensemaking']
['p12', '00:44:36', 'pan', 'geo-0-1', '2', '-3', 'Sensemaking']
['p12', '00:44:36', 'pan', 'geo-0-1', '1', '-1', 'Sensemaking']
['p12', '00:44:37', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p12', '00:44:37', 'pan', 'geo-0-1', '-511', '0', 'Sensemaking']
['p12', '00:44:37', 'pan', 'geo-0-1', '1', '-1', 'Sensemaking']
['p12', '00:44:37', 'pan', 'geo-0-1', '2', '-2', 'Sensemaking']
['p12', '00:44:37', 'pan', 'geo-0-1', '2', '-1', 'Sensemaking']
['p12', '00:44:37', 'pan', 'geo-0-1', '3', '-2', 'Sensemaking']
['p12', '00:44:37', 'pan', 'geo-0-1', '8', '-4', 'Sensemaking']
['p12', '00:44:37', 'pan', 'geo-0-1', '5', '-3', 'Sensemaking']
['p12', '00:44:37', 'pan', 'geo-0-1', '13', '-5', 'Sensemaking']
['p12', '00:44:37', 'pan', 'geo-0-1', '12', '-3', 'Sensemaking']
['p12', '00:44:37', 'pan', 'geo-0-1', '11', '-1', 'Sensemaking']
['p12', '00:44:37', 'pan', 'geo-0-1', '3', '-1', 'Sensemaking']
['p12', '00:44:37', 'pan', 'geo-0-1', '4', '0', 'Sensemaking']
['p12', '00:44:37', 'pan', 'geo-0-1', '1', '-1', 'Sensemaking']
['p12', '00:44:37', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p12', '00:44:39', 'pan', 'geo-0-1', '-1', '-1', 'Sensemaking']
['p12', '00:44:39', 'pan', 'geo-0-1', '-3', '-1', 'Sensemaking']
['p12', '00:44:39', 'pan', 'geo-0-1', '-6', '-3', 'Sensemaking']
['p12', '00:44:39', 'pan', 'geo-0-1', '-12', '-9', 'Sensemaking']
['p12', '00:44:39', 'pan', 'geo-0-1', '-6', '-4', 'Sensemaking']
['p12', '00:44:39', 'pan', 'geo-0-1', '-2', '-2', 'Sensemaking']
['p12', '00:44:39', 'pan', 'geo-0-1', '-2', '-1', 'Sensemaking']
['p12', '00:44:39', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p12', '00:44:40', 'clear', 'undefined', 'undefined', 'Sensemaking']
['p12', '00:44:41', 'pan', 'geo-0-1', '281', '141', 'Sensemaking']
['p12', '00:44:41', 'zoom', 'geo-0-1', '3', 'Sensemaking']
['p12', '00:44:41', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p12', '00:44:42', 'pan', 'geo-0-1', '561', '283', 'Sensemaking']
['p12', '00:44:42', 'zoom', 'geo-0-1', '4', 'Sensemaking']
['p12', '00:44:42', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p12', '00:44:42', 'tile cached', 'undefined', '0-2304-2559-5x1-1280-1535-5x4-0-23-0', 'Sensemaking']
['p12', '00:44:42', 'tile cached', 'undefined', '0-2048-2303-5x1-1280-1535-5x4-0-23-0', 'Sensemaking']
['p12', '00:44:42', 'tile cached', 'undefined', '0-2560-2815-5x1-1280-1535-5x4-0-23-0', 'Sensemaking']
['p12', '00:44:42', 'tile cached', 'undefined', '0-2816-3071-5x1-1280-1535-5x4-0-23-0', 'Sensemaking']
