['p4', '00:22:57', 'repaintBg', 'color slider', '1665-227312', 'Drill-Down']
['p4', '00:22:57', 'repaintFg', 'color slider', '1665-227312', 'Drill-Down']
['p4', '00:22:57', 'repaintBg', 'color slider', '6573-227312', 'Drill-Down']
['p4', '00:22:57', 'repaintFg', 'color slider', '6573-227312', 'Drill-Down']
['p4', '00:22:57', 'repaintBg', 'color slider', '8084-227312', 'Drill-Down']
['p4', '00:22:57', 'repaintFg', 'color slider', '8084-227312', 'Drill-Down']
['p4', '00:22:57', 'repaintBg', 'color slider', '11482-227312', 'Drill-Down']
['p4', '00:22:57', 'repaintFg', 'color slider', '11482-227312', 'Drill-Down']
['p4', '00:22:57', 'repaintBg', 'color slider', '12615-227312', 'Drill-Down']
['p4', '00:22:57', 'repaintFg', 'color slider', '12615-227312', 'Drill-Down']
['p4', '00:22:57', 'repaintBg', 'color slider', '13370-227312', 'Drill-Down']
['p4', '00:22:57', 'repaintFg', 'color slider', '13370-227312', 'Drill-Down']
['p4', '00:22:57', 'repaintBg', 'color slider', '13748-227312', 'Drill-Down']
['p4', '00:22:57', 'repaintFg', 'color slider', '13748-227312', 'Drill-Down']
['p4', '00:22:57', 'repaintBg', 'color slider', '14881-227312', 'Drill-Down']
['p4', '00:22:57', 'repaintFg', 'color slider', '14881-227312', 'Drill-Down']
['p4', '00:22:57', 'repaintBg', 'color slider', '16013-227312', 'Drill-Down']
['p4', '00:22:57', 'repaintFg', 'color slider', '16013-227312', 'Drill-Down']
['p4', '00:22:57', 'repaintBg', 'color slider', '18279-227312', 'Drill-Down']
['p4', '00:22:57', 'repaintFg', 'color slider', '18279-227312', 'Drill-Down']
['p4', '00:22:57', 'repaintBg', 'color slider', '22432-227312', 'Drill-Down']
['p4', '00:22:57', 'repaintFg', 'color slider', '22432-227312', 'Drill-Down']
['p4', '00:22:57', 'repaintBg', 'color slider', '26586-227312', 'Drill-Down']
['p4', '00:22:57', 'repaintFg', 'color slider', '26586-227312', 'Drill-Down']
['p4', '00:22:57', 'repaintBg', 'color slider', '27719-227312', 'Drill-Down']
['p4', '00:22:57', 'repaintFg', 'color slider', '27719-227312', 'Drill-Down']
['p4', '00:22:57', 'repaintBg', 'color slider', '28474-227312', 'Drill-Down']
['p4', '00:22:57', 'repaintFg', 'color slider', '28474-227312', 'Drill-Down']
['p4', '00:22:57', 'repaintBg', 'color slider', '28851-227312', 'Drill-Down']
['p4', '00:22:57', 'repaintFg', 'color slider', '28851-227312', 'Drill-Down']
['p4', '00:22:58', 'repaintBg', 'color slider', '29229-227312', 'Drill-Down']
['p4', '00:22:58', 'repaintFg', 'color slider', '29229-227312', 'Drill-Down']
['p4', '00:22:58', 'repaintBg', 'color slider', '29607-227312', 'Drill-Down']
['p4', '00:22:58', 'repaintFg', 'color slider', '29607-227312', 'Drill-Down']
['p4', '00:22:58', 'repaintBg', 'color slider', '29984-227312', 'Drill-Down']
