['p4', '00:32:38', 'range select', 'geo-0-1', '0-11228-11252-9_1-26161-26175-9_', 'Question / Hypothesis']
['p4', '00:32:38', 'range select', 'geo-0-1', '0-11228-11253-9_1-26161-26175-9_', 'Question / Hypothesis']
['p4', '00:32:39', 'range select', 'geo-0-1', '0-11237-11237-9_1-26161-26161-9_', 'Question / Hypothesis']
['p4', '00:32:39', 'range select', 'geo-0-1', '0-11237-11237-9_1-26161-26162-9_', 'Question / Hypothesis']
['p4', '00:32:39', 'range select', 'geo-0-1', '0-11237-11238-9_1-26161-26163-9_', 'Question / Hypothesis']
['p4', '00:32:39', 'range select', 'geo-0-1', '0-11237-11240-9_1-26161-26165-9_', 'Question / Hypothesis']
['p4', '00:32:39', 'range select', 'geo-0-1', '0-11237-11246-9_1-26161-26172-9_', 'Question / Hypothesis']
['p4', '00:32:39', 'range select', 'geo-0-1', '0-11237-11248-9_1-26161-26174-9_', 'Question / Hypothesis']
['p4', '00:32:39', 'range select', 'geo-0-1', '0-11237-11249-9_1-26161-26176-9_', 'Question / Hypothesis']
['p4', '00:32:40', 'range select', 'geo-0-1', '0-11237-11238-9_1-26159-26159-9_', 'Question / Hypothesis']
['p4', '00:32:40', 'range select', 'geo-0-1', '0-11237-11239-9_1-26159-26161-9_', 'Question / Hypothesis']
['p4', '00:32:40', 'range select', 'geo-0-1', '0-11237-11242-9_1-26159-26163-9_', 'Question / Hypothesis']
['p4', '00:32:40', 'range select', 'geo-0-1', '0-11237-11247-9_1-26159-26166-9_', 'Question / Hypothesis']
['p4', '00:32:40', 'range select', 'geo-0-1', '0-11237-11251-9_1-26159-26169-9_', 'Question / Hypothesis']
['p4', '00:32:40', 'range select', 'geo-0-1', '0-11231-11232-9_1-26156-26157-9_', 'Question / Hypothesis']
['p4', '00:32:40', 'range select', 'geo-0-1', '0-11231-11233-9_1-26157-26157-9_', 'Question / Hypothesis']
['p4', '00:32:40', 'range select', 'geo-0-1', '0-11231-11237-9_1-26157-26160-9_', 'Question / Hypothesis']
['p4', '00:32:40', 'range select', 'geo-0-1', '0-11231-11241-9_1-26157-26163-9_', 'Question / Hypothesis']
['p4', '00:32:40', 'range select', 'geo-0-1', '0-11231-11250-9_1-26157-26172-9_', 'Question / Hypothesis']
['p4', '00:32:41', 'range select', 'geo-0-1', '0-11227-11227-9_1-26163-26163-9_', 'Question / Hypothesis']
['p4', '00:32:41', 'range select', 'geo-0-1', '0-11227-11229-9_1-26163-26165-9_', 'Question / Hypothesis']
['p4', '00:32:41', 'range select', 'geo-0-1', '0-11227-11231-9_1-26163-26167-9_', 'Question / Hypothesis']
['p4', '00:32:41', 'range select', 'geo-0-1', '0-11227-11233-9_1-26163-26169-9_', 'Question / Hypothesis']
['p4', '00:32:41', 'range select', 'geo-0-1', '0-11227-11241-9_1-26163-26174-9_', 'Question / Hypothesis']
['p4', '00:32:45', 'clear', 'undefined', 'undefined', 'Question / Hypothesis']
['p4', '00:32:49', 'pan', 'geo-0-1', '-5608', '-13082', 'Question / Hypothesis']
['p4', '00:32:49', 'zoom', 'geo-0-1', '8', 'Question / Hypothesis']
['p4', '00:32:49', 'pan', 'geo-0-1', '0', '0', 'Question / Hypothesis']
['p4', '00:32:49', 'pan', 'geo-0-1', '-2803', '-6541', 'Question / Hypothesis']
['p4', '00:32:49', 'zoom', 'geo-0-1', '7', 'Question / Hypothesis']
['p4', '00:32:49', 'pan', 'geo-0-1', '0', '0', 'Question / Hypothesis']
['p4', '00:32:50', 'tile cached', 'undefined', '0-2304-2559-8x1-6656-6911-8x4-0-23-0', 'Question / Hypothesis']
['p4', '00:32:50', 'tile cached', 'undefined', '0-2816-3071-8x1-6656-6911-8x4-0-23-0', 'Question / Hypothesis']
['p4', '00:32:50', 'tile cached', 'undefined', '0-2816-3071-8x1-6400-6655-8x4-0-23-0', 'Question / Hypothesis']
